team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2008 Cal St. Fullerton,2008,Cal St. Fullerton,Big West,14,4.97,6.07,2.34,F,First Round
2009 Stephen F. Austin,2009,Stephen F. Austin,Southland,14,4.94,1.62,7.08,D,First Round
2024 Akron,2024,Akron,MAC,13,4.93,4.54,3.98,D,First Round
2012 Montana,2012,Montana,Big Sky,13,4.91,3.17,5.33,D,First Round
2013 New Mexico St.,2013,New Mexico St.,WAC,13,4.91,3.68,4.78,D,First Round
2021 UNC Greensboro,2021,UNC Greensboro,Southern,13,4.88,3.54,4.96,D,First Round
2008 Siena,2008,Siena,MAAC,13,4.88,4.95,3.39,F,Second Round
2019 Northern Kentucky,2019,Northern Kentucky,Horizon,14,4.87,4.59,3.79,D,First Round
2021 Eastern Washington,2021,Eastern Washington,Big Sky,14,4.82,4.66,3.62,D,First Round
2018 Georgia St.,2018,Georgia St.,Sun Belt,15,4.81,4.38,3.96,F,First Round
2010 Montana,2010,Montana,Big Sky,14,4.81,3.48,4.96,F,First Round
2015 New Mexico St.,2015,New Mexico St.,WAC,15,4.81,3.85,4.49,F,First Round
2013 South Dakota St.,2013,South Dakota St.,Summit,13,4.8,5.29,3.02,D,First Round
2009 Cornell,2009,Cornell,Ivy,14,4.79,4.73,3.55,F,First Round
2016 Iona,2016,Iona,MAAC,13,4.79,5.41,2.82,F,First Round
2011 Morehead St.,2011,Morehead St.,OVC,13,4.78,3.53,4.83,F,Second Round
2017 New Mexico St.,2017,New Mexico St.,WAC,14,4.78,4.72,3.54,F,First Round
2016 Chattanooga,2016,Chattanooga,Southern,12,4.75,3.93,4.36,D,First Round
2011 Bucknell,2011,Bucknell,Patriot,14,4.74,3.54,4.7,D,First Round
2019 Saint Louis,2019,Saint Louis,A10,13,4.74,3.03,5.27,D,First Round
2023 Grand Canyon,2023,Grand Canyon,WAC,14,4.74,5.19,3.1,F,First Round
2010 Ohio,2010,Ohio,MAC,14,4.74,4.58,3.58,F,Second Round
2012 Lamar,2012,Lamar,Southland,16,4.72,4.45,3.75,F,First Round
2023 Princeton,2023,Princeton,Ivy,15,4.7,4.58,3.61,D,First Round
2017 Florida Gulf Coast,2017,Florida Gulf Coast,ASUN,14,4.7,4.8,3.43,F,First Round
2023 Vermont,2023,Vermont,America East,15,4.69,4.83,3.31,D,First Round
2015 Wofford,2015,Wofford,Southern,12,4.68,3.01,5.26,D,First Round
2023 Colgate,2023,Colgate,Patriot,15,4.64,5.59,2.53,D,First Round
2023 Montana St.,2023,Montana St.,Big Sky,14,4.64,3.79,4.29,D,First Round
2009 Western Kentucky,2009,Western Kentucky,Sun Belt,12,4.63,4.81,3.27,F,Second Round
2014 Delaware,2014,Delaware,CAA,13,4.58,5.86,2.13,F,First Round
2019 Georgia St.,2019,Georgia St.,Sun Belt,14,4.58,4.46,3.57,F,First Round
2011 Indiana St.,2011,Indiana St.,MVC,14,4.57,3.18,4.82,F,First Round
2016 Cal St. Bakersfield,2016,Cal St. Bakersfield,WAC,15,4.55,3.12,4.89,D,First Round
