"Florida Atlantic",118.01272290161,99.373524356947,0.87835322242533,13–4,13,17,56.1,48.9,32.7,25.6,16.6,17.6,34.5,30.1,68.9,57.3,48.3,36.2,33.2,6.6,6.8,50.5,39.6,38.9,36.2,68.8,,,,2024,,,,1.1600048131658,69.6,72.2
Northeastern,107.52390139856,110.12295837656,0.43176087739877,7–10,7,17,52.2,54.6,35.6,26.3,20.4,16.9,33.9,29.4,65.8,55.1,54.3,31.3,36.8,8.3,10.5,53.4,47.4,35.3,38,67,,,,2024,,,,-6.4363391162749,74.8,72.4
"Robert Morris",100.28148654272,109.57873924607,0.2651021772719,4–12,4,16,50.8,55.3,30.1,37.8,20.8,19,32.8,30.3,70.3,50.7,57.2,34,34.5,6.4,8.3,48.5,50.7,39.5,34.6,70.2,,,,2024,,,,-8.8663420242272,71.4,71.6
Seattle,102.15397144352,96.754626323321,0.6512379229501,9–7,9,16,50,46.5,36.6,36.9,19.8,18.9,30.1,25.4,68.6,51.9,49.7,31.3,27.3,9.4,8.9,50.4,47.2,38.2,36.1,68.4,,,,2024,,,,-4.4643309514973,73.9,69.1
Villanova,113.27781998245,95.520861584988,0.87661249922817,11–6,11,17,50.3,48.8,31.9,26.7,15.1,16.9,29.7,23.8,65.7,50.1,47.4,33.6,33.9,6.2,13.6,48.8,54.3,48.3,40.4,66.3,,,,2024,,,,0.12135901718958,81.8,69.9
Howard,105.66592839213,113.18381389079,0.31208220650824,6–11,6,17,52,51.9,39.7,35.7,20.6,15.6,30.7,32,69.6,50.9,51.1,35.9,35.4,7.2,9.5,51.7,51.2,38.4,36.7,68.8,,,,2024,,,,-7.6494443832274,73.2,69.3
"Utah St.",112.74260029795,97.373564495291,0.84361228388259,14–1,14,15,54,48.4,38.7,32.7,15.6,18.3,31.2,24.5,70.1,58.1,51.8,30.4,28.3,12,5.8,57,47.5,32.5,36.5,70,,,,2024,,,,2.5730763498216,71.2,69.1
Marist,97.739060255227,99.588330317864,0.44631950436325,8–6,8,14,51.6,46.8,30.9,40.8,18.2,21.8,23.8,26,66.7,51.8,47.1,34.2,30.9,9.9,5.9,49.3,43,37.6,39.6,66.1,,,,2024,,,,-4.6152739823505,64.4,69
"Portland St.",99.323905454613,104.14439867827,0.36702308915962,8–6,8,14,46.7,51.1,32.2,30.3,16.6,18.6,28.5,29.5,68.1,44.8,48.9,32.9,36.8,7.8,11.1,45.2,49.6,40.3,35.2,70,,,,2024,,,,-3.4137016175848,70.4,68.2
Denver,112.8769182669,113.44904656732,0.48546866545672,7–7,7,14,52.7,54.2,39.4,29.2,13.4,13.4,31,26.9,70.9,49.4,54.1,39.1,36.2,8.7,13.9,46.9,46.7,36.6,33.6,71.9,,,,2024,,,,-3.9650285429297,72.5,68.7
"Cal St. Northridge",101.52323330303,102.74817136163,0.46557357699227,11–4,11,15,50.2,46.9,39.7,41.1,19.6,18.6,34.6,24.5,74.7,51.4,47.8,31.2,30.6,10.6,7.9,46.8,58.2,25.8,45.6,75.4,,,,2024,,,,-1.8928261339318,70.8,71.8
Maryland,101.54993483679,94.690084390263,0.69089900920168,11–6,11,17,46.4,44.8,44.8,31.8,17.2,20.1,34.2,31.3,67.1,49.6,42.6,27.5,33.6,12.9,9.2,46.6,46.9,38.5,28,66.8,,,,2024,,,,-1.5071014910237,70.1,72.8
