team_year,true_tempo,10pt_runs_per_game,10pt_runs_conceded_per_game,10pt_runs_total,10pt_runs_conceded_total,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2024 UC Irvine,69.72293906,0.3125,0.3125,5,5,1.76959,0.49,77.12,41.5,69.2,69.1217,68.4115,19.71595656,56.47451963,23.80952381,21.77942539,50.97312326,27.24745134,19.89,22.14,15.64,19.47,22.73,3.15,12.72,20.18,20.13,43.62,10.78,17.28,17.42,25.44,28.91
2024 Vermont,66.05776824,0.625,0.5,10,8,2.27435,-0.96,76.83,36.81,64.3,64.3234,64.0556,14.66905188,47.22719141,38.10375671,15.64561734,51.27238454,33.08199811,16.42,23.69,20.05,19.29,20.41,14.58,9.72,18.61,27.7,29.27,17.02,21,20.46,20.97,20.44
2024 Troy,71.6242479,0.5,0.285714286,7,4,0.815413,-0.24,77.12,36.63,70.8,70.8316,70.9339,23.71615313,42.39028945,33.89355742,21.61635833,51.21713729,27.16650438,23.63,28.43,17.66,13.96,16.27,11.5,17.73,13.11,28.7,28.86,17.64,18.32,17.6,19.29,27.05
2024 Merrimack,68.47340578,0.357142857,1,5,14,1.72419,-0.32,76.68,32.07,68.6,68.4587,67.4034,20.16965127,49.57587182,30.25447691,21.34935305,52.31053604,26.34011091,19.53,22.43,27.01,13.92,17.04,11.98,13.97,23.76,20.99,29.14,10.38,17.41,24.55,19,28.55
2024 Western Illinois,67.84584654,0.214285714,0.5,3,7,1.06561,0.34,77.54,27.54,66.5,66.2908,65.1054,19.63322546,55.44768069,24.91909385,16.88980433,57.46652935,25.64366632,25.25,21.9,22.55,14.7,15.55,4.52,10.72,18.69,21.08,44.93,9.36,19.04,20.55,14.27,36.72
2024 Houston,66.61380091,1.3125,0.25,21,4,2.17019,-1.36,76.08,37.1,64.4,64.3477,64.0803,17.05685619,51.83946488,31.10367893,23.84428224,44.76885645,31.38686131,26.23,19.8,21.09,17.03,15.74,6.98,13.52,20.6,26.47,32.3,12.04,19.44,18.83,24.7,24.85
2024 Arizona,75.07457907,1.25,0.125,20,2,2.22852,1.62,78.18,31.93,75.8,75.822,74.3134,17.88896504,56.20287868,25.90815627,15.04347826,50.7826087,34.17391304,15.38,22.3,17.2,21.14,23.98,4.82,8.86,15.1,26.82,44.39,12.33,18.54,17.03,21.6,30.49
2024 Memphis,73.32350801,0.647058824,0.117647059,11,2,2.56482,0.36,77.83,32.43,72.6,72.614,72.6798,21.29496403,48.05755396,30.64748201,16.21835443,46.99367089,36.78797468,19.5,14.88,29.82,15.63,20.17,6.66,8.67,25.16,16.5,43.01,15.07,16.08,23.38,17.56,27.91
2024 Marquette,71.31668986,0.875,0.3125,14,5,2.07473,1.18,77.66,30.37,70.3,70.3184,70.5686,16.03343465,51.82370821,32.14285714,16.17391304,46.7826087,37.04347826,21.68,17.41,21.82,17.83,21.12,9.51,17.93,11.87,17.79,42.71,19.75,16.96,18.38,20.94,23.83
2024 Alabama,73.39520954,1.1875,0.375,19,6,2.41414,2.31,78.37,34.44,72.6,72.4688,72.0678,20.33310201,40.94378904,38.72310895,20.642978,50.42301184,28.93401015,26.4,16.86,16.68,19.68,20.28,14.82,12.28,17.56,37.44,17.82,17.62,18.12,17.96,23.02,23.16
2024 Iowa St.,70.26124737,1.133333333,0.266666667,17,4,2.03778,0.3,77.43,30.15,69.8,69.7367,69.3815,20.42846213,55.70007651,23.87146136,19.48608137,40.04282655,40.47109208,20.94,20.6,19.93,19.49,19.04,15.43,9.72,18.69,14.46,41.7,22.05,19.34,22.43,17.34,18.84
2024 St. John's,71.74159482,0.823529412,0.235294118,14,4,3.17912,0.39,78.03,33.37,70.3,70.2897,70.4357,16.37995512,56.24532536,27.37471952,20.37037037,51.34680135,28.28282828,21.3,18.92,16.07,17.41,26.2,6.24,10.15,22.31,16.38,44.79,12.8,14.97,24.47,16.94,30.72
2024 Florida Atlantic,69.2938599,0.8125,0.4375,13,7,2.58936,-0.24,76.59,30.75,68.9,68.9237,68.079,16.85714286,51.85714286,31.28571429,15.90720795,53.02402651,31.06876553,16.48,15.95,23.9,18.25,25.38,8.52,15.8,15.36,25.36,34.89,14.21,17.01,23.07,16.66,28.98
2024 Seton Hall,67.82525972,0.764705882,0.352941176,13,6,3.02122,-0.05,77.69,23.23,67.3,67.3169,66.3016,19.08945687,58.14696486,22.76357827,18.36037575,45.77284372,35.86678053,20.67,15.48,23.31,24.03,16.42,6.27,15.66,13.88,19.18,44.83,11.43,19.06,23.38,20.81,25.21
2024 BYU,71.05320626,1.066666667,0.2,16,3,1.97421,1.26,78.48,36.94,70.8,70.7945,69.2978,11.67883212,44.96350365,43.35766423,17.62376238,56.83168317,25.54455446,14.79,20.31,23.13,24.4,17.35,12.65,16.73,24.88,18.72,26.97,14.63,21.03,19.34,19.43,25.54
2024 Grand Canyon,69.88524073,0.8125,0.25,13,4,2.39786,0.15,78.43,23.65,69.2,69.2047,68.3577,23.71946414,51.69424744,24.58628842,19.45488722,53.19548872,27.34962406,20.97,15.85,23.23,25.31,14.55,5.79,11.16,26.52,28.13,28.29,13.97,15.53,24.54,22.08,23.79
2024 Princeton,66.59748098,0.75,0.333333333,9,4,1.33815,-1.27,76.41,16.58,64.7,64.7413,64.342,15.02487562,44.37810945,40.59701493,15.88785047,53.97196262,30.14018692,14.74,30.2,18.27,21.29,15.39,10.04,15.49,6.89,33.37,34.02,14.98,22.87,13.65,34.72,13.62
2024 Akron,68.51607856,0.642857143,0.214285714,9,3,2.73392,-0.6,76.4,31.45,67,67.0101,66.031,18.89534884,48.8372093,32.26744186,16.43835616,54.16227608,29.39936776,12.34,17.61,16.6,29.34,24.06,8.7,9.16,19.85,43.59,18.65,15.61,11.69,15.65,43.2,13.83
2024 Oakland,69.46969321,0.526315789,0.473684211,10,9,2.10047,-1.33,76.42,30.07,69.3,69.2113,68.8631,18.00281294,51.1954993,30.80168776,17.36357193,46.91708009,35.71934798,19.06,18.4,17.14,24.45,20.82,9.33,6.66,27.04,24.93,31.9,14.71,15.93,21.54,28.72,18.97
2024 Denver,71.62379862,0.357142857,0.357142857,5,5,1.98803,0.94,77.65,28.28,70.9,70.872,70.7615,21.31287298,46.71781756,31.96930946,15.64147627,55.88752197,28.47100176,24.52,25.36,13.38,16.48,20.19,9.07,10.58,9.75,23.43,47.06,15.48,21.69,13.34,21.4,28.02
2024 Kennesaw St.,75.85695552,0.214285714,0.5,3,7,1.93035,-0.26,76.66,28.37,76.9,76.9491,76.2841,19.68911917,47.15025907,33.16062176,23.05025997,49.39341421,27.55632582,24.82,22.16,18.94,16.28,17.76,8.87,6.9,14.09,26.63,43.4,16.42,11.96,19.41,26.35,25.81
