team_year,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2019 Abilene Christian,2.12,-0.79,75.89,30.04,66.6,66.5681,66.0042,19.06779661,50.56497175,30.36723164,21.77460479,52.21825599,26.00713921,17.2,18.83,14.8,23.82,25.3,7.52,6.14,17.26,38.77,30.27,15.46,18.71,18.34,23.1,24.34
2021 Abilene Christian,2.3,-0.08,75.1,36.46,71.6,71.6065,69.9524,18.1671159,50.45822102,31.37466307,23.52176738,50.94217024,25.53606238,12.79,16.56,19.64,22.88,28.14,9.58,11.32,13.97,25.93,39.19,15.2,15.46,19.33,25.26,24.75
2009 Akron,1.49,1.5,76.35,36.53,65,64.9547,64.5005,21.1886,46.2532,32.5581,25.9138,50.328,23.7582,21.55,17.41,24.43,21.41,15.2,5.5,9.91,29.9,28.76,25.93,10.85,13.42,24.23,26.55,24.95
2011 Akron,2.03,1.2,76.56,31.46,66.8,66.658,66.2222,18.152,47.9671,33.8809,21.6437,53.7005,24.6558,18.5,16.04,23.03,24.56,17.87,9.77,3.71,17.63,30.56,38.34,13.77,14.35,20.22,27.34,24.33
2013 Akron,1.61,2.35,77.86,37.98,66.4,66.6607,64.6243,18.838,52.6408,28.5211,21.9029,52.8246,25.2725,16.34,17.77,21.06,21.35,23.48,6.95,13.01,23.84,24.92,31.29,11.55,17.79,21.29,21.78,27.59
2022 Akron,1.17,0.12,76.44,26.04,63.8,63.8375,62.0745,20.62698773,46.25170377,33.1213085,15.83577713,52.49266862,31.67155425,20.15,18.74,15.86,24.38,20.87,12.1,7.33,16.52,43.5,20.56,18.41,14.85,15.15,36.07,15.52
2012 Alabama,1.01,0.1,76.77,36.42,63.1,63.8917,61.5091,20.7494,60.1405,19.1101,22.0021,52.3462,25.6517,19.91,17.91,16.44,23.35,22.39,7.78,9.13,19.77,26.6,36.72,13.47,19.55,18.66,23.81,24.51
2018 Alabama,0.74,1.04,78.1,36.57,70.3,70.2901,68.7962,21.31336406,52.30414747,26.38248848,20.72355486,48.36806921,30.90837593,28.66,20.13,14.54,19.07,17.54,13.65,8.46,16.03,31.14,30.65,12.57,15.7,23.2,25.77,22.69
2021 Alabama,1.88,0.26,77.69,32.95,75.1,75.1471,73.9267,16.47014074,43.81894256,39.7109167,18.76351059,54.64764375,26.58884565,24.99,21.39,17.54,20.05,15.97,8.65,10.97,17.47,37.39,25.44,12.63,19.21,20.81,23.97,23.31
2022 Alabama,1.65,0,77.12,29.69,73.3,73.3157,71.7144,18.90964544,46.20663363,34.88372093,19.97621879,50.89179548,29.13198573,23.43,21.48,18.81,17.2,19.08,5.93,13.3,19.71,28,33.05,15.74,21.34,22.51,20.67,19.74
2023 Alabama,1.09,1.96,78.1,35.66,72.8,72.826,72.7469,20.20648968,43.28908555,36.50442478,21.75639894,54.01588703,24.22771403,20.49,17.78,18.49,26.21,17.02,6.55,9.96,18.83,26.7,37.93,12.71,13.62,19.56,28,26.09
2009 Alabama St.,2.08,1.48,77.52,32.88,66.9,66.3073,62.7485,18.1244,57.5316,24.344,20.6099,56.6772,22.7129,21.49,14.98,21.46,20.76,21.31,10.07,24.21,15.66,24.51,25.54,16.83,19.08,12.8,26.09,25.2
2011 Alabama St.,1.89,-3.02,76.02,45.83,66,66.1276,63.859,24.0276,52.191,23.7814,28.0957,47.2795,24.6248,14.79,21.66,20.29,24.15,19.1,8.14,17.49,22.63,29.47,22.27,11.33,18.52,22.17,23.65,24.32
2013 Albany,2.11,1.27,75.7,30.85,62.8,62.7885,61.1481,22.9231,48.6895,28.3874,15.8738,54.1686,29.9576,20.83,26.99,18.77,19.57,13.84,5.8,11.74,18.08,35.76,28.62,10.39,14.09,20.06,27.12,28.34
2014 Albany,2.24,0.81,76.96,19.2,63.1,63.0949,61.7185,24.3859,53.774,21.8401,17.8473,49.586,32.5667,22.06,26.07,22.42,16.58,12.87,6.22,9.71,28.48,28.85,26.75,15.34,15.05,24.55,25.14,19.91
2015 Albany,1.66,-0.98,76.86,27.2,61.2,61.2078,60.7359,22.8664,48.6085,28.525,17.6353,44.7896,37.5752,23.11,22.88,22.37,20.78,10.86,5.78,12.75,19.84,26.8,34.83,16.6,17.49,20.29,23.7,21.92
2008 American,2.11,-0.5,75.09,25.86,61.5,60.932,59.5974,22.6168,40.9346,36.4486,23.0844,46.7545,30.1611,20.13,29.76,14.5,16.46,19.15,6.64,9.62,31.06,21.25,31.44,13.81,14.59,21.79,23.2,26.61
2009 American,2.62,-1.13,74.86,21.34,61.4,61.2289,59.7892,16.1259,50.46,33.414,22.422,49.1803,28.3977,19.91,28.94,14.08,15.19,21.88,8.52,8.29,23,33.14,27.06,17.47,15.36,23.66,20.12,23.39
2014 American,1.72,-0.03,76.44,20.18,60.8,60.7947,59.8927,18.1643,51.9942,29.8414,22.9626,52.2809,24.7565,18.66,18.65,19.79,19.36,23.54,20.99,12.56,13.56,18.37,34.51,12.73,16.88,17.6,21.54,31.25
2021 Appalachian St.,1.85,-0.8,76.13,26.15,66.1,66.0679,65.6825,20.13025459,43.81290705,36.05683837,14.59810875,52.95508274,32.44680851,25.58,25.91,14.04,19.44,14.98,6.27,7,7.1,38.97,40.56,20.45,20.02,17.8,19.53,22.14
2008 Arizona,1.43,1.18,76.71,21.9,65,64.8425,62.8325,21.8259,50.5308,27.6433,18.038,57.4141,24.5479,20.29,21.08,12.79,23.12,22.72,6.84,8.62,22.43,21.04,41.07,12.43,13.15,18.2,23.36,32.86
2009 Arizona,1.43,2.48,76.86,17.71,64.5,64.4079,63.6396,20.6801,53.9344,25.3855,14.5455,49.5041,35.9504,22.93,13.16,12.45,25.81,25.65,4.87,12.62,19.47,15.87,47.17,11.05,12.12,20.31,23.66,32.86
2011 Arizona,1.39,0.04,77.22,36.21,67,67.0341,65.5658,23.0981,46.3339,30.568,20.3488,59.3023,20.3488,18.96,17.02,18.02,17.73,28.27,4.52,4.77,26.94,26.24,37.54,8.99,12.82,20.95,25.86,31.38
2013 Arizona,1.64,3.46,78.07,28.73,67,67.0357,64.9417,21.0506,47.5486,31.4008,20.0809,51.4825,28.4367,25.76,18.17,20.74,19.22,16.1,3.46,8.38,25.49,29.82,32.84,10.75,16.08,20.43,25.45,27.28
2014 Arizona,1.07,3.7,77.82,24.51,64.5,64.521,63.1175,20.6934,57.2048,22.1018,22.4719,54.2022,23.3258,15.86,22.22,19.67,22.08,20.17,6.71,8.9,22.69,30.99,30.71,15.57,14.74,18.77,25.39,25.53
2015 Arizona,1.48,3.37,77.87,29.41,66.9,66.8428,65.5943,24.0467,56.0632,19.8901,22.3986,50.3527,27.2487,17.19,17.93,23.35,22.08,19.46,8.38,7.74,28.83,28.07,26.97,17.2,11.82,25.62,22.19,23.16
2016 Arizona,2.02,5.13,78.28,36.01,70,70.0436,68.3189,22.7422,53.0165,24.2413,18.4458,55.4227,26.1315,16.59,19.98,22.34,21.97,19.12,5.36,6.03,16.16,34.68,37.76,11.87,14.24,17.73,26.17,29.99
2017 Arizona,1.14,3.58,78.74,33.93,67.3,67.3107,65.6678,22.41440169,51.74726438,25.83833392,17.00819672,53.60655738,29.3852459,14.41,19.38,21.84,19.01,25.32,5.67,19.49,8.02,31.54,35.2,16.26,18.49,16.38,23.55,25.26
2018 Arizona,1.51,3.46,78.64,28.34,68.7,68.7501,67.313,19.9787083,54.79063165,25.23066004,18.65284974,50.13949781,31.20765245,13.28,25.21,15.73,16.81,28.91,3.77,10.42,13.8,28.76,43.17,11.4,13.19,12.38,25.77,37.2
2022 Arizona,1.34,3.24,79.44,29.19,72.9,72.9192,72.1752,18.86063727,53.4277438,27.71161893,15.44876886,52.025417,32.52581414,15.69,18.62,20.84,22.2,22.63,6.44,13.26,15.92,25.95,38.39,12.98,18.55,18.74,23.1,26.59
2023 Arizona,2.01,2.46,78.46,25.98,72.9,72.8989,72.3118,18.53432942,50.30238349,31.16328709,16.4541341,49.85602633,33.68983957,15.22,16.49,17.56,26,24.71,4.92,6.87,18.18,32.68,37.33,11.31,15.09,16.69,25.63,31.26
2009 Arizona St.,1.59,-2.76,76.4,18.75,60.7,60.4248,58.5891,20.1812,44.2339,35.5848,19.5549,51.0417,29.4034,15.15,13.66,26.73,20.89,23.57,8.03,14.07,19.35,15.93,42.62,11.87,17.26,21.14,17.48,32.24
2014 Arizona St.,1.91,4.42,77.42,19.54,69,69.0126,67.6129,21.963,45.6959,32.3411,20.6897,56.3946,22.9158,27.2,22.84,17.03,14.5,18.42,11.92,9.35,24.21,13.42,41.1,15.18,15.35,21.16,19.65,28.66
2018 Arizona St.,1.79,0.11,76.22,25.81,72.6,72.6271,71.5605,21.96597353,45.36862004,32.66540643,18.8308977,48.35073069,32.81837161,21.83,23.99,20.43,16.26,17.49,13.5,8.61,4.1,31.52,42.27,15.95,14.8,13.12,25.61,30.52
2019 Arizona St.,1.34,0.41,77.63,26.51,72.1,72.1332,70.4917,22.74450341,49.96209249,27.29340409,21.8925421,42.98315958,35.12429832,21.74,23.45,18.35,18.81,17.63,10.17,11.66,16.56,30.65,30.89,12.57,15.15,19.45,32.02,20.76
2023 Arizona St.,2.09,0.9,77.09,31.48,69.2,69.1548,68.4035,18.2350481,49.76997072,31.99498118,20.15638575,45.96003475,33.8835795,22.39,18.55,25.26,16.38,17.38,7.62,9.18,21.34,22.87,38.94,17.87,15.58,16.99,22.9,26.61
2008 Arkansas,2.25,4.64,77.39,31.05,69.6,69.2934,66.2236,19.8226,56.2283,23.9491,20.3928,50.8985,28.7087,18.03,17.26,22.34,23.06,19.3,10.59,10,16.26,31.5,31.65,15.9,20.69,14.72,25.14,23.55
2015 Arkansas,1.69,1.96,77.69,37.21,70.3,70.3181,69.1346,21.2774,53.1037,25.6189,22.3366,51.1683,26.495,14.46,16.72,22.35,19.39,27.08,11.92,10.32,16.42,19.08,42.25,11.19,16.69,20.86,21.43,29.84
2017 Arkansas,2.33,0.77,76.94,37.32,71.5,71.4812,69.4151,21.99649737,53.52014011,24.48336252,22.33922527,47.9879654,29.67280933,20.95,26.83,20.85,13.38,17.98,16.69,10.44,14.48,28.02,30.37,14.04,14.04,15.84,23.31,32.77
2018 Arkansas,2.15,0.75,77.14,34.32,71.4,71.4084,69.6899,19.15572898,52.21709826,28.62717276,22.74272762,43.14318096,34.11409142,18.74,27.82,21.92,12.69,18.8,10.45,10.87,11.72,28.1,38.82,12.87,15.5,18.37,23.58,29.64
2021 Arkansas,1.56,1.14,77.89,29.93,75.3,75.3323,73.1045,19.23963134,53.91705069,26.84331797,17.22614841,49.91166078,32.86219081,23.37,19.49,21.51,19.91,15.68,9.38,19.12,18.68,31.13,21.66,16.98,19.25,15.86,17.54,30.34
2022 Arkansas,2.32,-0.29,76.76,22.68,72,72.0273,70.59,22.52669039,52.59786477,24.87544484,19.70716264,48.35773645,31.93510091,26.78,19.54,18.36,17.49,17.81,6.28,15.55,28.26,21.67,28.22,13.79,15.83,15.44,17.03,37.88
2023 Arkansas,1.45,0.35,78.75,26.04,70.1,70.1147,69.6808,20.43973941,59.03908795,20.52117264,22.97661871,54.22661871,22.79676259,18.71,25.06,20.24,15.13,20.8,7.89,10.81,17,32.87,31.35,16.63,12.2,18.18,22.46,30.45
2011 Little Rock,2.19,-2.44,74.51,39.27,64.7,64.7645,64.4828,23.6749,45.8481,30.477,24.1991,48.9177,26.8831,17.78,27.38,23.37,16.62,14.85,6.6,5.8,18,35.15,34.45,18.87,13.36,13.19,28.41,26.16
2016 Little Rock,2.35,0.3,76.15,36.88,64.1,64.0516,63.2633,18.0915,50.1727,31.7358,22.2936,46.2679,31.4385,22.33,21.88,14.88,23.64,17.26,10.5,11.3,19.52,25.94,32.75,0.01,0.01,52.9,47.06,0.02
2010 Arkansas Pine Bluff,2.53,-1.22,75.99,32.95,68.1,67.8754,64.9785,26.5466,53.9243,19.5291,28.3951,48.2853,23.3196,15.97,19.78,18.91,20.68,24.67,8.15,17.39,17.89,29.19,27.37,11.12,17.25,18.74,22.86,30.04
2018 Auburn,1.24,-0.89,75.84,33.37,73.5,73.4691,72.2946,23.24829321,41.82536831,34.92633848,21.66398714,45.41800643,32.91800643,18.59,21.58,23.5,21.04,15.27,5.19,7.45,31.54,22.49,33.3,10.27,8.06,25.88,25.11,30.65
2019 Auburn,2.19,0.1,76.56,31.4,68.9,68.8594,67.5363,16.82333874,39.80551053,43.37115073,19.9777613,44.99629355,35.02594514,22.54,23.47,16.6,18.34,19.04,5.28,7.25,16.31,26.84,44.3,12.01,10.19,22.34,27.6,27.84
2022 Auburn,1.34,2.75,77.54,34.91,71.4,71.398,70.0205,18.79699248,50.30075188,30.90225564,22.14442013,48.31509847,29.5404814,23.11,15.61,13.48,26.92,20.83,7.92,8.33,24.75,18.17,40.77,16.78,8.33,16.06,29.31,29.47
2023 Auburn,2.09,1.07,76.9,34.62,68.7,68.6925,67.6112,20.06875806,53.11559948,26.81564246,23.20596459,51.91053122,24.88350419,25.52,12.92,18.39,21.68,21.47,6.45,7.01,17.39,25.02,44.06,16.09,11.63,20.8,22.52,28.93
2008 Austin Peay,2.19,-4.18,75.31,23.58,67.5,67.423,64.9848,23.4363,44.9421,31.6216,17.3193,48.5264,34.1542,18.06,21.8,20.09,20.09,19.95,3.73,14.04,24.58,24.58,33.08,13.98,17.83,20.4,20.4,27.4
2016 Austin Peay,1.67,-1.68,76.38,28.6,70.3,70.3103,69.3154,23.4971,51.8664,24.6365,17.0888,49.6786,33.2325,11.71,25.4,17.86,17.57,27.46,4.5,7.76,15.05,20.04,52.64,10.76,15.15,16.89,22.34,34.87
2008 Baylor,1.77,0.68,76.28,32.77,70.9,70.9547,69.34,20.3918,48.3007,31.3075,22.3752,52.3236,25.3012,19.83,23.83,24.24,17.95,14.16,9.85,10.12,12.67,32.66,34.71,13.34,17.4,15.9,28.22,25.14
2010 Baylor,1.73,6.2,77.95,23.35,67.3,67.5047,64.0252,19.4747,53.0582,27.4672,20.7164,48.3384,30.9452,19.65,25.69,19.56,16.91,18.2,4.39,9.17,23.56,29.66,33.21,11.85,18.9,22.07,25.09,22.08
2012 Baylor,1.54,4.15,77.08,30.05,67.1,67.697,64.8088,20.481,52.1866,27.3324,19.4319,52.2849,28.2832,20.74,15.69,20,21.61,21.96,11.1,6.7,26.75,24.43,31.02,12.95,10.31,23.23,27.13,26.39
2014 Baylor,2.02,4.41,77.66,29.92,63.9,63.9036,61.1487,22.9403,47.6946,29.3651,18.1893,52.4375,29.3732,20.97,17.62,15.85,22.56,23,3.94,5.23,24.95,38.96,26.92,12.32,8.65,21.62,32.31,25.09
2015 Baylor,1.87,0.22,76.28,27.56,62.7,62.6602,61.2742,20.5908,48.8536,30.5556,18.4701,53.1454,28.3845,16.55,17.07,17.95,27,21.43,3.57,7.54,19.9,31.32,37.68,8.5,14.3,21.53,29.93,25.74
2016 Baylor,1.88,0.58,76.77,29.41,67.2,67.1496,66.4547,21.3349,54.3504,24.3147,20.9544,50.1518,28.8937,15.56,18.42,14.14,25.66,26.23,3.93,8.3,17.63,34.58,35.57,11.4,15.34,19.19,27.67,26.4
2017 Baylor,1.91,2.23,77.78,31.37,64.7,64.7766,63.0844,18.82930823,54.27752763,26.89316414,19.12643678,51.49425287,29.37931034,22.57,17.07,10.92,26.14,23.3,4.57,10.01,12.7,37.16,35.55,10.7,14.52,16.88,26.52,31.38
2019 Baylor,1.45,0.04,76.91,34.87,66.7,66.6446,65.2511,17.60851761,48.73054873,33.66093366,20.24326672,47.69765421,32.05907906,24.34,19.25,18.3,18.41,19.7,5.3,12.54,26.1,27.94,28.12,13.04,21.68,18.78,24.88,21.63
2021 Baylor,2.01,-0.56,76.66,28.57,70.2,70.2185,68.3891,14.23401689,49.69843185,36.06755127,18.17718941,53.56415479,28.2586558,19.8,25.09,22.63,14.49,17.98,5.21,7.14,15,39.18,33.47,11.65,16.34,14.23,27.69,30.09
2022 Baylor,1.8,1.1,77.61,33.63,68.5,68.5501,67.2084,16.07483772,52.53913708,31.3860252,16.94214876,54.54545455,28.51239669,22.55,18.34,20.01,20.04,19.06,3.94,8.52,19.91,31.59,36.05,12.49,8.15,18.33,34.21,26.82
2023 Baylor,1.83,0.35,77.09,30.62,67.9,67.8723,66.551,20.77764277,41.55528554,37.66707169,17.74911032,53.02491103,29.22597865,20.45,22.74,25.25,17.52,14.01,3.78,5.14,17.71,37.09,36.23,10.99,12.86,19.25,27.56,29.3
2008 Belmont,1.73,-1.44,76.29,40.36,72,71.4309,68.1091,18.1365,42.408,39.4555,19.4444,52.8595,27.6961,19.22,22.24,21.8,12.97,23.77,14.56,14.11,26.29,22.84,22.2,14.22,15.07,24.38,24.53,21.8
2011 Belmont,1.59,0.49,77.05,44.37,69.5,69.7082,68.7655,20.6093,44.2294,35.1613,25.3903,49.4031,25.2066,17.17,23.03,16.34,16.97,26.49,5.67,10.35,21.44,24.98,37.55,11.28,14.94,18.19,22.85,32.74
2012 Belmont,2.12,1.25,76.22,33.63,68.8,69.5377,66.7473,20.4007,46.7031,32.8962,19.4613,54.4744,26.0643,18.18,20.13,20.05,16.81,24.83,8.74,10.89,14.56,28.56,37.25,15.37,16.02,16.51,21.54,30.56
2013 Belmont,2.34,-1.73,76.26,25.38,68.2,68.2213,65.3017,17.5453,49.9367,32.5179,21.3861,48.3168,30.297,19.47,21.89,19.01,17.97,21.67,7.92,11.83,16.28,28.69,35.28,16.57,16.57,19.67,23.41,23.79
2015 Belmont,1.49,-0.68,76.48,30.87,67.4,67.4806,66.5706,16.4826,43.5004,40.017,16.3709,52.8838,30.7453,15.01,21.11,20.05,23.38,20.46,23.37,7.39,8.72,32.12,28.4,19.75,15.86,15.96,28.78,19.65
2019 Belmont,1.46,1.49,77.45,26.93,74.2,74.2457,71.1231,15.37626628,48.9146165,35.70911722,16.3248221,53.16031812,30.51485977,16.04,21.61,12.18,26.82,23.32,9.05,8.22,13.95,32.56,36.15,15.59,14.25,12.11,35.34,22.67
2009 Binghamton,1.68,-3.1,75.48,25.56,67.3,66.9519,66.5996,22.0009,51.8759,26.1232,23.8777,50.3343,25.788,19.12,16.24,25.4,25.07,14.17,11.34,15.95,16.54,22.22,33.95,14.65,17.93,20.55,20.64,26.24
2008 Boise St.,2.16,0.57,76.8,24.17,72.9,72.361,70.2142,18.7218,51.5038,29.7744,19.0533,53.6197,27.327,13.74,14.52,26.79,21.14,23.82,6.36,12.29,28.37,16.49,36.5,11.79,13.78,28.83,19.2,26.4
2013 Boise St.,1.37,-2.57,76.6,28.47,66.3,66.2935,64.2697,19.5591,48.7805,31.6604,22.571,48.1315,29.2975,17.84,23.45,12.99,26.64,19.09,5.55,10.59,9.48,14.2,60.19,16.29,15.92,15.99,20.62,31.17
2015 Boise St.,1.97,1.43,77.3,35.8,62.3,62.3307,62.8256,18.0549,44.6646,37.2805,18.8175,52.6478,28.5347,25.13,21.09,16.86,15.81,21.11,15.04,17.19,14.88,17.16,35.73,16.9,17.25,17.37,16.06,32.42
2022 Boise St.,2.41,0.54,78.47,27,64.9,64.907,64.6171,18.42677097,49.89135159,31.68187744,16.20839363,55.86107091,27.93053546,21.37,19.42,23.85,19.07,16.27,6.6,13.11,19.07,18.95,42.22,17.88,20.47,20.53,15.7,25.4
2023 Boise St.,2.14,-0.59,77.65,20.49,67,67.0127,66.5002,17.9163034,49.7820401,32.3016565,16.72305462,52.68245529,30.59449009,19.75,21.28,19.49,21.89,17.55,9.81,7.58,24.19,19.38,38.97,23.88,18.22,17.14,20.43,20.3
2009 Boston College,1.26,1.13,77.39,29.67,67.8,67.5681,64.7471,21.4003,52.8481,25.7516,20.2753,55.0688,24.6558,23.83,21.78,21.34,17.08,15.96,8.43,18.26,32.41,17.38,23.52,14.46,18.23,19.04,22.13,26.13
2011 Boston University,1.51,-1.13,76,27.98,62.7,63.0458,63.0646,22.3348,42.6432,35.022,18.7669,48.9649,32.2682,15.31,21.36,26.12,20.65,16.56,10.78,14.21,20.2,23.17,31.63,14.65,18.12,21.59,20.54,25.11
2019 Bradley,2.06,0.27,76.74,28.45,65.8,65.8042,65.0632,20.13303769,48.33702882,31.52993348,21.41894926,46.51998204,32.0610687,24.63,14.11,19.11,23.32,18.81,3.14,14.19,9.64,32.62,40.37,9.29,17.71,17.16,29.15,26.68
2022 Bryant,2.51,-1.26,76.94,26.93,72.2,72.1918,72.1799,19.45263158,48.58947368,31.95789474,15.43156059,55.53618134,29.03225806,19.38,19.16,24.35,19.97,17.14,19.9,19.47,10.79,13.41,36.4,17.69,19.84,19.7,18.44,24.31
2011 Bucknell,1.54,-1.4,76.3,27.88,66.2,66.3444,65.0026,20.9049,49.6858,29.4093,21.2052,48.5741,30.2208,16.15,20.9,18.36,17.91,26.67,6.38,11.35,22.75,26.55,32.96,16.11,14.84,16.73,19.77,32.56
2013 Bucknell,2.16,2.52,77.16,26.54,62.5,62.5074,60.9891,21.1504,58.0616,20.788,19.6447,53.7095,26.6458,14.01,13.85,20.82,19.87,31.45,3.47,3.37,14.46,36.17,42.53,12.74,15.31,15.09,19.96,36.9
2017 Bucknell,1.43,0.09,76.24,31.93,70.4,70.4393,69.6888,18.62120644,49.15698764,32.14687149,18.51851852,54.20875421,27.27272727,19.32,17.14,15.48,22.28,25.72,5.15,8,13.59,30.04,43.14,14.13,11.54,15.97,26.49,31.79
2018 Bucknell,2.01,0.77,77.03,35.13,72.5,72.5377,71.4452,22.10081072,48.29044766,29.60874163,20.04689332,53.69284877,26.26025791,22.31,11.73,19.31,21.67,24.94,8.98,10.01,21,22.65,37.3,12.4,13.74,23.99,23.07,26.75
2015 Buffalo,1.74,-0.28,76.88,28.49,68.9,68.8703,68.4522,23.9236,51.8278,24.2486,18.9969,49.7115,31.2916,22.73,15.61,18.42,27.64,15.61,5.38,9.17,21.68,36.12,27.65,12.93,12.93,20.43,32.14,21.57
2016 Buffalo,1.45,-0.99,77.16,33.41,72.4,72.3903,71.9828,22.9615,47.8462,29.1923,21.3926,49.5938,29.0135,20.25,20.36,20.05,23.46,15.88,12.22,12.16,20.29,21.03,34.3,14.97,15.14,16.78,29.01,24.11
2018 Buffalo,1.78,0.25,76.59,29.33,73.8,73.8527,72.8022,15.98513011,49.54376479,34.4711051,23.02827381,50.74404762,26.22767857,20.87,17.77,18.51,23.75,19.08,9.43,15.6,20.7,20.17,34.07,16.23,20.23,18.55,22.06,22.91
2019 Buffalo,2.34,-0.07,76.49,28.44,74.7,74.6814,73.7602,17.33378562,48.16824966,34.49796472,19.19839679,53.86773547,26.93386774,15.41,20.79,20.46,21.08,22.25,12.03,17.56,24.24,18.53,27.62,15.22,17.29,17.04,23.09,27.35
2008 Butler,2.21,-1.53,75.81,27.01,60.2,59.9474,58.5955,20.0086,39.0765,40.9149,18.3879,55.9194,25.6927,20.23,22.47,15.52,20.39,21.39,8.09,10.52,23.15,28.26,29.98,21.94,23.54,19.47,17.43,17.62
2009 Butler,0.67,0.48,76.08,25.79,62.8,62.7537,61.9683,23.3061,41.2302,35.4637,21.307,48.5448,30.1483,12.91,18.28,20.06,26.72,22.03,6.28,16.56,20.21,34.64,22.31,15.8,16.9,16.48,24.71,26.1
2010 Butler,1.71,-2.03,76.08,23.29,64.5,64.3953,63.243,25.316,44.8104,29.8736,20.1063,54.1187,25.775,12.33,18.16,22.28,22.26,24.98,9.78,11.65,17.26,29.84,31.47,14.4,15.19,17.46,25.51,27.44
2011 Butler,2.02,0.39,76.29,27.62,65.4,65.4927,63.7754,21.6082,46.2652,32.1265,21.4436,50.6085,27.948,13.39,17.44,22.76,22.76,23.66,7.17,7.15,10.22,38.05,37.4,17.7,14.62,18.01,24.04,25.63
2013 Butler,1.72,1.7,76.77,31.03,64.6,64.5681,62.5561,20.8507,50.3753,28.774,21.4286,53.0997,25.4717,17.24,19.66,21.45,20.37,21.28,6.57,15.13,23.04,25.17,30.08,16.25,16.47,18.02,22.35,26.9
2015 Butler,1.99,-0.16,77.09,21.17,64.6,64.5773,63.0408,22.4211,53.0264,24.5524,19.5851,53.3526,27.0622,15.91,21.9,25.34,22.74,14.11,7.07,21.8,11.79,20.77,38.57,17.11,15.55,14.61,15.02,37.7
2016 Butler,2.13,-1.26,77.35,25.81,70.1,70.1183,67.7286,21.4556,51.7058,26.8385,20.3498,50.0853,29.5648,16.4,21.8,24.66,20.78,16.35,10.94,21.91,14.44,18.2,34.5,14.94,22.51,20.63,17.75,24.16
2017 Butler,2.05,-0.13,76.44,33.61,66.9,66.9222,65.3305,20.11560694,49.71098266,30.1734104,20.24775737,50.14950876,29.60273387,17.47,20.39,17.17,25.13,19.82,7.63,6.31,18.19,21.4,46.43,15.1,20.14,18.47,25.1,21.19
2018 Butler,1.68,-0.07,76.66,30.29,69.8,69.8415,67.8456,15.77994933,53.05827,31.16178067,20.15748031,47.48031496,32.36220472,22.74,14.65,13.58,28.3,20.67,6.61,7.17,17.96,16.73,51.46,22.51,13.53,16.82,25.2,21.87
2008 BYU,1.66,1.88,77.63,26.42,70.2,70.0947,67.4202,18.7209,48.1395,33.1395,20.1536,55.0384,24.808,12.7,15.24,25.17,20.97,25.92,4.81,7.53,21.86,29.24,36.55,10.46,14.04,21.57,26.03,27.9
2009 BYU,1.62,2.07,77.24,24.48,68.8,68.8705,68.4554,18.9508,52.623,28.4262,21.7641,51.7737,26.4621,19.66,17.04,22.63,25.01,15.65,8.18,9,17.62,24.66,40.54,11.42,16.74,28.99,23.52,19.33
2010 BYU,1.58,0.05,77,32.48,71.1,71.4716,70.9239,21.8847,48.8091,29.3062,21.0841,51.131,27.7849,23.87,24.46,19.34,17.37,14.97,7.33,12.68,31.38,17.67,30.94,12.08,18.28,19.52,25.74,24.37
2011 BYU,1.98,-0.13,77.5,26.13,71.2,71.5867,70.3423,21.9596,47.2079,30.8325,19.8371,54.0122,26.1507,37.84,18.38,12.38,14,17.4,7.29,10.88,25.59,25.03,31.21,12.63,18.07,23.37,22.56,23.38
2012 BYU,1.66,2.62,77.94,33.11,72.5,73.2569,71.6581,19.8058,53.9806,26.2136,19.4235,51.7073,28.8692,16.35,18.28,15.26,26.51,23.61,4.71,20.1,19.5,16.13,39.55,13.72,19.32,18.99,19.3,28.67
2014 BYU,1.43,2.32,77.74,29.06,73.5,73.5115,71.172,24.5522,56.902,18.5458,21.164,50.4913,28.3447,23.74,22.6,26.68,17.67,9.31,6.09,10.03,18.47,32.62,32.79,15.12,16,19.37,23.51,26
2015 BYU,1.92,1.54,77.56,36.16,69.7,69.6639,69.7923,23.4404,45.7733,30.7863,21.6227,53.0478,25.3295,22.57,23.31,28.92,15.22,9.99,6.88,8.88,18.88,31.49,33.87,15.1,16.18,20.72,26.82,21.17
2021 BYU,2,2.47,77.97,36.45,70.4,70.3849,67.9796,15.64217891,51.67416292,32.68365817,17.67001115,52.39687848,29.93311037,22.73,20.33,16.37,17.15,23.33,6.77,8.44,12.26,37.09,35.33,14.25,17.27,16.55,28.39,23.46
2014 Cal Poly,1.83,-0.5,76.19,40.66,60.7,60.6512,58.8564,19.7674,49.7472,30.4853,23.9518,51.759,24.2892,17.4,16.2,24.76,23.4,18.24,6.7,12.32,28.52,28.29,24.17,13.17,13.72,20.64,26.08,26.39
