team_year,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2008 Siena,1.31,-1.43,75.45,28,69.7,69.7255,66.6906,19.824,52.7363,27.4397,13.9669,54.2975,31.7355,18.18,20.25,26.34,25.21,10.03,8.81,15,26.91,19.86,29.41,12.85,16.85,26.4,19.22,24.68
2009 Siena,1.78,-2.17,76.4,20.24,72,72.0633,70.1991,18.863,60.7604,20.3765,14.4598,56.7831,28.7571,14.69,25.71,20.64,22.16,16.81,9.4,10.52,26.19,20.95,32.94,15.14,15.04,23.01,20.03,26.78
2010 Siena,2.23,-0.12,76.59,20.53,69.8,70.0175,68.3596,20.9084,60.2976,18.794,12.4438,59.389,28.1671,10.84,22.89,25.34,20.31,20.63,8.47,6.61,26.45,17.75,40.72,11.22,11.93,25.39,16.19,35.27
2015 SMU,1.99,3.23,77.38,32.94,63,62.9487,62.8424,22.807,58.5088,18.6842,18.8737,41.4003,39.726,22.35,14.29,14.89,23.12,25.34,4.09,9.33,17.93,35.53,33.12,10.25,16.78,21.48,23.9,27.59
2017 SMU,1.89,-0.35,78.47,18.39,63.8,63.8434,63.5675,18.66102347,48.32627934,33.01269719,15.61904762,44.0952381,40.28571429,13.32,20.46,19.64,27.42,19.15,11.33,9.62,24.11,25.53,29.39,15.3,19.7,19.39,20.44,25.15
2008 South Alabama,2.11,0.54,75.9,24.76,67,66.6896,64.0943,23.0868,50.3634,26.5498,17.6642,50.219,32.1168,21.63,19.92,24.08,19.16,15.21,4.15,6.9,16.65,33.84,38.46,13.15,12.97,20.35,31.58,21.95
2017 South Carolina,1.56,0.83,77.11,32.93,69.5,69.4858,68.211,22.96522736,49.67520061,27.28314864,26.14795918,47.95918367,25.89285714,15.35,15.4,31.75,26.48,11.02,8.72,11.3,24.53,27.25,28.2,13.56,11.97,24.65,28.04,21.77
2012 South Dakota St.,1.45,-0.87,77.17,27.93,65.9,66.7707,64.332,21.1262,46.4058,32.4681,17.0455,57.1818,25.7727,20.35,20.96,20.77,17.8,20.12,19.87,12.99,13.75,24.5,28.88,20.65,19.29,19.01,16.68,24.37
2013 South Dakota St.,2.18,0.03,77.72,17.06,63.8,63.7858,61.9938,19.2808,48.6135,32.1057,14.0508,54.2293,31.7199,20.94,22.23,18.2,17.91,20.71,15.31,9.85,13.36,27.9,33.59,16.91,17.76,17.3,19.16,28.87
2016 South Dakota St.,1.89,-0.45,76.54,32.5,68.6,68.629,68.2819,22.6485,47.0297,30.3218,23.3379,50.4749,26.1872,23.72,19.04,13.26,17.16,26.82,5.98,11.79,23.31,22.81,36.11,17.31,16.99,20.92,19.44,25.34
2017 South Dakota St.,1.78,0.23,77.53,35.97,69.3,69.2887,67.0521,22.32391564,41.86231596,35.8137684,15.34865602,44.56564083,40.08570316,12.04,17.32,15.12,21.85,33.6,14.67,19.79,17.83,15.52,32.12,17.73,18.51,16.78,20.3,26.62
2018 South Dakota St.,1.99,0.17,76.87,26.93,72.1,72.0656,70.2629,19.96891997,42.03574204,37.995338,15.4893617,51.82978723,32.68085106,21.47,17.89,12.21,20.42,27.97,7.32,25.57,17.34,15.48,34.21,11.8,19,16.29,20.59,32.27
2022 South Dakota St.,1.42,-0.84,76.68,29.77,71.5,71.5227,69.4008,18.1460272,50.60844667,31.24552613,13.3360522,49.83686786,36.82707993,13.9,15.63,21.05,26.68,22.69,15.25,9.55,8.06,31.71,35.35,13.37,15.44,22.81,26.62,21.69
2012 South Florida,1.92,1.91,77.87,30.86,59.7,60.3688,57.9277,20.0388,56.3804,23.5808,20.5617,52.658,26.7803,18.72,20.09,20.07,19.53,21.6,2.56,14.59,17.51,32.89,32.45,10.34,16.42,22.96,27.78,22.5
2023 Southeast Missouri St.,1.73,-0.92,76.04,34.27,73.8,73.8049,72.5476,21.54631083,47.25274725,31.20094192,22.58190328,49.2199688,28.19812793,26.38,22.7,17.58,14.72,18.62,11.56,7.66,18.67,29.92,32.19,12.57,21.87,15.41,29.64,20.51
2013 Southern,2.2,0.28,76.52,31.23,65.3,65.414,62.7873,21.9708,47.5616,30.4676,21.8999,52.6735,25.4266,12.97,15.67,28.44,28.92,13.99,5.62,10.14,11.06,34.35,38.83,15.95,14.6,20.37,25,24.08
