team_year,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_miya,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_miya,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_miya,def_rating_torvik
2024 Utah St.,8,16.0641,12.75915837,0.843612284,2.57307635,5.1,114.004,6.223933568,112.7426003,3,97.9395,6.5352248,97.3735645
2024 Utah,9.9,18.4314,14.25727256,0.900751279,1.356207458,5.6,116.868,7.991218096,117.3043604,4.2,98.4363,6.266054463,96.83229952
2024 Mississippi St.,9.8,18.0169,16.79284989,0.898860481,0.799110849,3.3,111.312,6.234586447,111.0310332,6.6,93.295,10.55826344,91.82110612
2024 Northwestern,7.9,13.3715,11.25745235,0.814388395,1.199701996,5.1,113.116,6.751386848,112.2074931,2.8,99.7444,4.506065504,98.66794459
2024 Providence,8.1,13.3586,10.56207499,0.835882869,-0.500369136,1.5,106.791,1.865827881,104.8665368,6.6,93.4326,8.696247113,91.02473078
2024 Texas Tech,10.7,17.9193,17.34767627,0.875147348,1.586612622,6.1,115.547,11.15326983,114.7883974,4.6,97.6272,6.194406443,96.90815042
2024 Indiana St.,8.1,14.5935,11.95480148,0.882178654,1.259059175,6.3,115.573,9.479461342,117.2152029,1.9,100.98,2.475340137,98.39092081
2024 UC Irvine,6,10.8488,8.914637051,0.730596364,-0.704980809,1.8,107.195,2.751531945,105.6100668,4.2,96.3462,6.163105106,96.83432122
2024 Vermont,4.1,3.32382,3.352348666,0.589951482,-1.945057099,3.6,108.19,2.529410728,107.1659033,0.5,104.866,0.822937938,103.8291136
2024 Troy,1.6,1.67863,0.576242515,0.561433486,-3.262967961,-0.5,104.844,-1.047341254,103.4757205,2.1,103.166,1.62358377,101.2770996
2024 Merrimack,-2.4,-4.7483,-2.877258043,0.434653936,-5.12182294,-4.8,96.1659,-6.668708607,95.8204969,2.3,100.914,3.791450564,98.03616419
2024 Western Illinois,-3.7,-6.04182,-6.51487243,0.354558101,-2.7872024,-3.9,99.8351,-5.98283068,98.0538806,0.2,105.877,-0.532041751,103.2971268
2024 Houston,21.2,32.4765,29.67571849,0.983128294,2.708401866,8.3,117.709,10.99694738,116.1052771,12.9,85.2327,18.67877112,81.53319567
2024 Arizona,17.1,28.9002,26.49325897,0.964952433,2.856149441,9.7,120.314,14.60675288,119.4188717,7.4,91.414,11.88650609,89.50942897
2024 Memphis,8.4,15.2784,13.80493881,0.77980315,3.108545803,4.5,114.163,8.571224756,111.9638762,3.9,98.8842,5.233714053,100.3052523
2024 Marquette,12.5,21.1432,18.09473765,0.916723397,1.559284776,6.5,115.281,8.986190265,114.5676082,6.1,94.1374,9.108547389,92.99892026
2024 Alabama,15.7,25.5702,22.52659582,0.955464943,1.236343442,11.4,124.438,15.84629922,127.0478271,4.3,98.8677,6.680296593,97.31583758
2024 Iowa St.,15.5,23.1125,19.75246962,0.946928274,0.628510055,6.5,112.649,6.777884562,112.8953176,9.1,89.5367,12.97458506,87.87267633
2024 St. John's,10.2,17.293,15.92185444,0.904300729,1.372671706,6,115.277,9.142924746,115.9260462,4.2,97.9835,6.778929691,95.35934585
2024 Florida Atlantic,11,18.9131,17.42439823,0.878353222,1.160004813,8.5,118.474,12.2743368,118.0127229,2.6,99.5607,5.150061436,99.37352436
2024 Seton Hall,6.3,12.4651,10.88655803,0.761546366,0.582543356,3.4,113.204,5.80984724,111.9106926,2.9,100.739,5.076710785,101.1626204
2024 BYU,13.4,23.6945,19.39170658,0.936526661,0.914025879,7.3,116.345,10.10505011,116.0084841,6.1,92.6504,9.286656471,91.80023
2024 Grand Canyon,7.4,13.2102,10.88466144,0.747004281,1.600769617,5,113.114,5.787428174,110.219658,2.4,99.904,5.09723327,100.3162387
2024 Princeton,8.8,13.8686,10.29582889,0.826536993,1.853525381,7.6,118.22,9.465220701,119.4971769,1.1,104.352,0.830608192,104.3269003
2024 Akron,5.7,7.81446,7.625580884,0.632545501,-0.974977666,3.2,109.111,3.425718103,106.2244618,2.5,101.297,4.199862781,101.3240457
2024 Oakland,1.6,1.64319,-0.38599082,0.605542157,-2.545856662,2.4,107.717,2.15717655,107.6082552,-0.9,106.074,-2.54316737,103.6714501
2024 Denver,-4.9,-0.42465,-0.809284307,0.485468665,-3.965028543,1.3,112.654,5.787370512,112.8769183,-6.2,113.079,-6.596654818,113.4490466
2024 Kennesaw St.,-0.6,-2.61532,-1.607898637,0.396014019,-2.809377764,-1.6,104.355,-0.752760116,102.9128424,1,106.97,-0.855138521,106.7603825
