team_year,rank_ovr_miya,rank_off_rating_miya,rank_def_rating_miya,rank_ovr_rating_kenpom,rank_off_rating_kenpom,rank_def_rating_kenpom,rank_eff_off,rank_eff_def,rank_point_dist_ft_off,rank_point_dist_2p_off,rank_point_dist_3p_off,rank_point_dist_ft_def,rank_point_dist_2p_def,rank_point_dist_3p_def,rank_true_tempo,rank_adj_tempo,rank_injury,rank_height_eff,rank_experience,rank_bench,rank_size,rank_height_1,rank_height_2,rank_height_3,rank_height_4,rank_height_5,rank_pos_point_dist_1,rank_pos_point_dist_2,rank_pos_point_dist_3,rank_pos_point_dist_4,rank_pos_point_dist_5,rank_pos_reb_dist_1_off,rank_pos_reb_dist_2_off,rank_pos_reb_dist_3_off,rank_pos_reb_dist_4_off,rank_pos_reb_dist_5_off,rank_pos_reb_dist_1_def,rank_pos_reb_dist_2_def,rank_pos_reb_dist_3_def,rank_pos_reb_dist_4_def,rank_pos_reb_dist_5_def
2024 St. John's,28,33,42,34,34,47,55,94,293,52,258,104,165,247,63,76,28,117,5,142,52,14,79,130,214,68,152,213,300,263,18,248,221,71,337,54,236,252,49,334,54
2024 Florida Atlantic,21,10,64,21,12,69,10,121,272,149,154,312,108,151,205,193,21,201,43,198,272,207,263,344,358,34,293,315,50,238,27,166,57,213,189,196,174,166,75,340,88
2024 Seton Hall,62,61,61,64,56,88,86,145,176,21,331,201,326,30,293,281,62,175,11,334,95,58,70,118,302,79,185,323,68,56,279,245,59,244,302,53,296,92,66,254,178
2024 BYU,15,24,14,11,23,7,4,3,362,330,2,244,23,319,96,124,15,39,146,59,16,15,22,170,69,37,335,166,72,45,245,59,40,42,308,315,159,38,178,289,171
2024 Grand Canyon,63,73,68,56,59,77,29,39,22,154,315,149,101,276,170,177,63,153,74,330,19,4,47,12,126,184,170,316,71,33,321,268,186,27,146,298,183,230,47,213,229
2024 Princeton,68,27,134,51,13,150,6,134,335,337,9,314,77,185,335,337,68,336,275,362,298,202,198,284,212,355,336,4,235,115,304,113,62,357,69,211,145,10,340,4,361
2024 Akron,91,109,85,97,101,96,95,106,183,238,129,295,74,213,251,294,91,257,28,183,300,249,247,343,234,266,353,254,290,4,46,158,247,111,6,357,118,339,305,1,360
2024 Oakland,170,135,247,144,126,185,119,240,219,170,169,261,298,35,192,141,170,341,118,223,296,129,213,333,325,331,231,237,269,43,132,138,314,22,197,242,157,212,122,44,336
2024 Denver,178,74,326,171,62,330,19,328,63,300,140,323,40,241,71,69,178,66,141,264,101,224,171,62,70,74,72,40,349,284,147,147,203,335,228,31,124,25,345,232,111
2024 Kennesaw St.,193,189,190,195,189,211,133,217,142,287,101,31,235,271,1,1,193,207,161,261,262,333,260,61,142,262,69,103,211,293,235,152,306,237,171,70,97,337,173,93,165
