game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20082109,2109,2008,East,Second Round,1,2008 North Carolina,9,2008 Arkansas,108,77,31,185,1,10.5,13.2768,0.095337733,11.3600163,15.1,15.23814186,11.83651967,-4.5,-1.641372698,0.800867791,5,2.6,11,-2.7,-3.7,-11.6,-8.9,-0.9,4.8,5,18.6768,5.4,-5,-0.7,-11.3529,-0.7,-3.73,-0.08,-0.67,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082110,2110,2008,East,Second Round,5,2008 Notre Dame,4,2008 Washington St.,41,61,-20,102,0,-2.1,-4.7089,-0.024250379,-0.531302233,-2.6,8.071929399,6.505324207,0.5,-13.32737186,-9.292482942,5.1,6,6.5,-4,-7.5,-17,2.9,0.4,2.1,7.3,18.1338,1.2,-8.2,-4,-13.7218,-8.7,0,-0.51,1.55,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082111,2111,2008,East,Second Round,6,2008 Oklahoma,3,2008 Louisville,48,78,-30,126,0,-6.6,-8.1229,-0.076898041,-1.939622229,-6.5,-3.354740639,-6.451341244,-0.2,-5.894225558,-1.949134577,6.3,4.9,2.8,-1.8,-5.8,-6,-3.4,0.6,6.7,3.8,12.6797,-0.1,-7.1,-2.3,-9.8128,8.3,1.64,1.23,-4.61,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082112,2112,2008,East,Second Round,7,2008 Butler,2,2008 Tennessee,71,76,-5,147,0,-3.6,-3.0397,-0.045572082,-4.464645558,0.5,11.37044777,5.761376936,-4.1,-14.52399222,-11.32456002,4.9,-2.6,-4.6,-7.7,-4.8,-5.6,-5.4,5.1,1.2,6.6,15.1887,6.3,-3.8,-4.3,-17.8671,2.1,-3.28,-1.18,-6.83,-12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082209,2209,2008,Midwest,Second Round,1,2008 Kansas,8,2008 UNLV,75,56,19,131,1,13.3,20.3454,0.144085273,7.711190681,6.4,17.87430915,14.42282226,7,4.144394787,8.570084711,10.2,5.1,5.6,-2.9,-4,-1.9,-0.4,7.1,8.1,10,22.6201,4.2,-6.8,0.5,-16.3229,-6.7,3.48,0.45,2.76,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082210,2210,2008,Midwest,Second Round,12,2008 Villanova,13,2008 Siena,84,72,12,156,1,3.9,6.22771,0.13793785,4.120644389,6.6,10.27491664,7.661025471,-2.7,-3.892194359,-1.085200457,-2.9,13.4,0,-3.6,0.9,11,-0.4,8.7,-1.5,-3.8,4.681,8.5,0.4,-0.5,-8.728,0.1,1.73,1.66,9.29,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20082211,2211,2008,Midwest,Second Round,11,2008 Kansas St.,3,2008 Wisconsin,55,72,-17,127,0,-6.9,-8.5198,-0.050669129,-7.245229963,-5.8,-2.615380663,-4.900872193,-1,-7.789599111,-3.804715216,6.6,12,13.6,-1.4,-2.6,-1.9,-5.4,3.1,8.9,1.3,21.7297,1.4,-4.5,0.9,-13.4524,-5.4,-1.76,-0.12,9.44,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082212,2212,2008,Midwest,Second Round,10,2008 Davidson,2,2008 Georgetown,74,70,4,144,1,-2.4,-4.4304,-0.053086235,-6.154442913,-3.4,2.951184828,-3.014370171,1,-8.040216703,-4.351860922,12.5,-10.4,-0.4,-2.5,-7.8,3.7,-5.5,3.2,14.3,6.2,20.6659,5.4,-9.2,-3.5,-18.7539,-2.4,-3.21,-0.69,-2.27,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082309,2309,2008,South,Second Round,1,2008 Memphis,8,2008 Mississippi St.,77,74,3,151,1,8.3,13.5605,0.104293802,8.354267059,5.8,5.440725973,2.702986186,2.5,9.863072096,13.00375329,10.6,11.3,5.2,-1,-9.8,-5.6,-5.9,1.4,13.9,3,19.2046,-9.6,-11.9,-3.6,-19.0315,2.9,3.43,0.75,10.2,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20082310,2310,2008,South,Second Round,5,2008 Michigan St.,4,2008 Pittsburgh,65,54,11,119,1,0.3,1.3698,0.015271038,-0.149892088,-0.2,12.23971331,9.545074968,0.6,-10.65683477,-7.985825053,4.5,5,5.7,0.2,-5,-4.5,-8.3,0.9,4.1,4.5,11.447,4.2,-5.8,-2.6,-14.5357,0.1,3.89,0.81,0.74,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
