game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20084415,4415,2008,West,Elite Eight,1,2008 UCLA,3,2008 Xavier,76,57,19,133,1,4.6,8.23,0.039267145,6.104426252,1.5,12.42892354,8.042594441,3,-2.982872958,-0.077911892,5.5,6.5,9.7,-1.2,-7,-16,-10.6,2.4,8.3,0.3,17.7919,6.3,-6,-5,-23.5706,-6.9,1.32,1.09,-7.6,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083414,3414,2008,West,Sweet 16,3,2008 Xavier,7,2008 West Virginia,79,75,4,154,1,-2.3,2.2053,0.014128666,2.014548567,0.2,9.381226548,6.72444052,-2.5,-7.263923545,-4.804236341,7.3,2.8,5.1,-3,-4.8,-5.6,-4.6,3.7,7.7,3.8,20.0931,10.2,-6,-2.3,-15.4829,-0.6,-0.58,-1.44,7.04,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093113,3113,2009,Midwest,Sweet 16,1,2009 Louisville,12,2009 Arizona,103,64,39,167,1,10.6,9.3543,0.098820387,7.341753848,8,10.41936719,9.613141412,2.6,2.032006703,1.892136765,1.1,6.7,0.6,1.4,-9.2,-5.6,-4.3,4.2,1.4,0.5,-0.004,-3.9,-7.5,-9.1,-22.9574,-5.5,0.52,0.2,13.4,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094115,4115,2009,Midwest,Elite Eight,1,2009 Louisville,2,2009 Michigan St.,52,64,-12,116,0,3.4,2.5847,0.025753123,0.688650643,1.7,-1.956615388,-1.475292007,1.8,6.530006703,6.165765365,4.3,-3.2,8.6,-1.1,-6.1,-10.4,-9.1,2.5,3.2,4,11.2866,-5.4,-5.9,-4.9,-19.6874,-0.7,0.76,0.38,-5.26,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093113,3113,2009,Midwest,Sweet 16,3,2009 Kansas,2,2009 Michigan St.,62,67,-5,129,0,0.9,0.348,0.008961782,-1.926821087,2.7,3.633384612,3.098646393,-1.7,-3.652792133,-1.692177461,6,4.8,10.9,0.1,-5.5,-5.2,-11.8,-1.4,4.8,6,16.1876,3.1,-7.5,-1.8,-13.6801,3.1,0.22,-0.05,-10.86,2.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093213,3213,2009,West,Sweet 16,1,2009 Connecticut,5,2009 Purdue,72,60,12,132,1,5.1,6.0764,0.030988375,4.856854591,4.3,1.233096201,-0.05174918,0.8,5.355672816,5.876370338,7.2,14.1,8.5,-4.6,-8.2,-14.1,1.9,-0.3,9.2,1.9,21.494,1,-9.2,-3.8,-13.6623,0.9,3.37,1.49,-4.48,2.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094215,4215,2009,West,Elite Eight,1,2009 Connecticut,3,2009 Missouri,82,75,7,157,1,2.8,4.5561,0.019639119,2.653387121,9.4,4.762410891,3.839257682,-6.5,1.000672816,0.231983438,4.9,5.8,5.7,-7.8,-10.3,-17.3,-3.7,0.3,4.5,3.9,19.9715,1,-11.9,-4.5,-19.7513,4.1,3.67,0.35,-11.26,-4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093214,3214,2009,West,Sweet 16,3,2009 Missouri,2,2009 Memphis,102,91,11,193,1,-2.7,-5.9558,-0.026305937,-0.936792796,2.6,-8.442944722,-7.771828597,-5.2,-0.924410891,1.478316718,12.4,2.3,4.7,-6,-3.1,-0.4,-4,7.8,13.4,6.5,27.7447,-2.1,-3.6,-1.2,-17.6195,-2.9,-0.88,-0.85,10.29,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093313,3313,2009,East,Sweet 16,1,2009 Pittsburgh,4,2009 Xavier,60,55,5,115,1,4.6,10.3826,0.06269125,5.711568621,3.7,12.85813985,10.57847451,0.9,-2.464710724,-0.279762385,9.3,-1.5,15.1,-0.2,-5.7,-15.9,-7.8,-1.8,11.6,2.7,24.0008,1,-3.9,-6.5,-11.4397,1.8,-3.82,-1.7,-2.01,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094315,4315,2009,East,Elite Eight,1,2009 Pittsburgh,3,2009 Villanova,76,78,-2,154,0,2.2,7.7696,0.041769829,2.582700628,5.7,12.70193662,11.09216615,-3.5,-4.944710724,-3.237162985,6,-6,12.3,-4.2,-4.5,-12.1,-6.2,0.5,8.3,1.8,20.7212,-0.8,-4.5,-3.3,-14.0207,-5,-0.74,-0.68,0.25,-2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
