year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,win,ovr_rating_bpi,ovr_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,reb%_off,ftr_off,to%_off,reb%_def,3p%_off,eff_off,ft%_def,eff_def,s_f,a_f
2008,West,First Round,7,2008 West Virginia,10,2008 Arizona,1,5.9,-0.0871,7.496133987,1.1,-9.545226548,0.5,6.3,-2.8,3.4,2.1,9.244,-9.5,-14.0671,0,0
2008,West,First Round,2,2008 Duke,15,2008 Belmont,1,15.6,25.04934,21.93164717,-2.5,1.904100585,3.9,4.8,-4.2,-0.3,3.6,10.411,-3.3,-16.8428,1,0
2009,Midwest,First Round,1,2009 Louisville,16,2009 Morehead St.,1,16.6,25.384675,12.02528605,10.3,16.9540067,5,-7.9,2,-7.5,0.3,3.307,-4.5,-15.0844,1,0
2009,Midwest,First Round,8,2009 Ohio St.,9,2009 Siena,0,2,4.791,9.149057674,-2.1,-7.347891299,-6.4,14.2,-2.4,-0.3,4.1,11.153,3.1,-7.5515,0,0
2009,Midwest,First Round,5,2009 Utah,12,2009 Arizona,0,-0.1,3.0248,9.725398512,-3.9,-8.427911,-7.1,14.4,2.4,-10.8,2.1,1.911,-1.5,-15.1174,0,0
2009,Midwest,First Round,4,2009 Wake Forest,13,2009 Cleveland St.,0,6.2,8.5948,1.162918118,2,5.381270427,2.3,6.6,-3.6,-2.7,-1,15.3141,-0.1,-7.4975,0,0
2009,Midwest,First Round,6,2009 West Virginia,11,2009 Dayton,0,9.7,15.61251,4.554834818,10.4,8.415092492,11.3,-0.9,-4.1,-6.6,1.4,16.677,4,-8.4615,0,0
2009,Midwest,First Round,3,2009 Kansas,14,2009 North Dakota St.,1,6.5,10.7053,15.55331844,-4.7,-4.557792133,9.4,10.6,2,-3.8,2.3,10.735,-2.5,-20.2321,0,0
2009,Midwest,First Round,7,2009 Boston College,10,2009 USC,0,-1.4,-5.5428,1.333014566,-1.6,-10.67524727,10.1,4.9,-0.1,-0.3,0,12.5471,2.7,-0.813,0,0
2009,Midwest,First Round,2,2009 Michigan St.,15,2009 Robert Morris,1,11.3,21.2734,11.64234384,4.9,9.745615388,8.8,2.1,-2.8,-6.8,-1.4,12.2697,-1,-10.0896,0,1
2009,West,First Round,1,2009 Connecticut,16,2009 Chattanooga,1,20.5,31.88578,20.41587755,1.5,11.25967282,8.4,15,-1.3,-2.4,-1.9,4.963,5.8,-13.5943,1,0
2009,West,First Round,8,2009 Texas A&M,9,2009 BYU,1,-2.3,-7.2846,2.499588031,-4.2,-11.89206769,10.9,11.3,-0.7,1.1,6.7,13.9934,-4.4,-11.6534,0,0
2009,West,First Round,5,2009 Purdue,12,2009 Northern Iowa,1,8.2,12.11167,8.698401737,7.2,2.704903799,2.8,1.9,0.6,3.1,-0.2,2.835,-8.9,-18.496,0,0
2009,West,First Round,4,2009 Washington,13,2009 Mississippi St.,1,5,10.1247,6.477976392,-5.8,2.39260927,6.4,15.8,1.3,-0.5,0.2,11.0115,-2.7,-8.5055,0,0
2009,West,First Round,6,2009 Marquette,11,2009 Utah St.,1,5.1,5.6894,16.98826696,-1.5,-12.95573338,6.9,15.1,-0.4,-5.6,-1.8,12.624,-7.4,-18.5088,0,0
2009,West,First Round,3,2009 Missouri,14,2009 Cornell,1,10.4,17.98688,15.35544937,-1.9,1.726589109,4.6,2.6,-3.4,1.9,5,14.4648,-7,-17.6755,0,1
2009,West,First Round,7,2009 California,10,2009 Maryland,0,0,4.933,9.366078171,-5.3,-7.302810524,-4.7,4.5,-4.6,-4.6,9,13.151,-6.1,-1.453,0,0
2009,West,First Round,2,2009 Memphis,15,2009 Cal St. Northridge,1,16.6,24.32503,5.348121411,6,21.59894472,6.1,-3.1,-5.7,-6.5,-0.5,11.9739,-0.1,-18.3347,1,0
2009,East,First Round,1,2009 Pittsburgh,16,2009 East Tennessee St.,1,14.4,24.38363,20.90225764,1.3,2.438289276,11.2,-0.2,-4.7,-2.6,2.8,19.7664,-2.1,-11.6407,1,0
2009,East,First Round,8,2009 Oklahoma St.,9,2009 Tennessee,1,-1.5,1.1838,11.0780323,-12.3,-12.0257602,-2.6,3.1,-4.1,-7.6,4.7,10.05,2.4,-7.801,0,0
2009,East,First Round,5,2009 Florida St.,12,2009 Wisconsin,0,-0.7,-2.0082,-1.478476986,6.8,-2.406441092,8.9,5.9,3.7,3.6,2,1.0569,-3.5,-13.5917,0,0
2009,East,First Round,4,2009 Xavier,13,2009 Portland St.,1,10.4,14.24483,12.21299194,2.4,-0.312139851,4.7,13.9,-0.2,-5.3,5.5,6.091,-1.6,-16.7838,0,0
2009,East,First Round,6,2009 UCLA,11,2009 VCU,1,4.9,12.3535,14.96311455,-1.7,-3.867377379,2.8,-7.4,-3,-1.2,6.4,21.034,-1.1,-11.2598,0,0
2009,East,First Round,3,2009 Villanova,14,2009 American,1,12.3,17.20667,11.82034839,7.6,4.073063381,6.2,7.5,-1.5,-1.2,3.8,15.9917,3.3,-8.9902,0,1
2009,East,First Round,7,2009 Texas,10,2009 Minnesota,1,4.3,2.7483,0.039484694,4.6,0.882693223,5.5,2.3,-5,-3.4,-2.8,10.8754,-4.8,-6.9002,0,0
2009,East,First Round,2,2009 Duke,15,2009 Binghamton,1,19.1,26.199817,18.56111604,6.1,6.31321115,2.8,-0.4,-3.9,1.3,2.5,13.2937,0.4,-8.7908,1,0
2009,South,First Round,1,2009 North Carolina,16,2009 Radford,1,22,29.022693,22.95878499,-0.8,4.958382998,11.9,9.1,0.1,-3.5,3.9,18.1167,1.6,-6.2874,1,0
2009,South,First Round,8,2009 LSU,9,2009 Butler,1,-0.8,-1.4409,3.401702336,1.6,-5.464948411,8,2.3,-3.2,-1.9,4.6,16.0963,-3.3,-11.5782,0,0
2009,South,First Round,5,2009 Illinois,12,2009 Western Kentucky,0,8.5,12.06537,8.483505527,7.4,4.641154188,-0.7,-9.1,-0.5,-4.7,0.5,0.584,-7.1,-19.4399,0,0
2009,South,First Round,4,2009 Gonzaga,13,2009 Akron,1,9.6,18.9708,8.275373379,2.2,7.943594003,-4.9,-10.4,-10.3,-4,10.6,22.8884,-1.5,-11.2436,0,0
2009,South,First Round,6,2009 Arizona St.,11,2009 Temple,1,3.3,9.1155,10.82709901,6.2,-3.203449387,0.1,8.2,0.6,-2.4,2.3,16.1426,3.6,-7.7225,0,0
2009,South,First Round,3,2009 Syracuse,14,2009 Stephen F. Austin,1,8.3,14.95582,4.451754147,5.8,7.310757132,8.1,1.2,-1.1,9.4,6.8,20.9661,-2.7,0.8516,0,0
2009,South,First Round,7,2009 Clemson,10,2009 Michigan,0,5.5,5.7954,11.47400547,-0.2,-8.351028601,7.2,2.3,-1.2,9,6.2,11.043,-9,-9.6584,0,0
2009,South,First Round,2,2009 Oklahoma,15,2009 Morgan St.,1,14.5,21.87346,15.53320408,6.1,5.677232259,3.6,5.8,-3,-7,5.7,20.7307,3.3,-3.9794,0,1
2010,Midwest,First Round,1,2010 Kansas,16,2010 Lehigh,1,21.8,33.96632,25.00567974,3.5,9.585586033,9.1,10.9,-0.9,2,6.5,16.6557,-3.9,-16.2912,1,0
