game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20115517,5517,2011,Final Four,Final Four,11,2011 VCU,8,2011 Butler,62,70,-8,132,0,-2,-6.24353,-0.129650086,-1.553503809,1.4,6.764833919,5.193742184,-3.4,-13.07844361,-12.17303473,2.1,-2.5,4.2,-1.6,-0.6,-4.4,4,5.4,0.1,3.2,9.4836,5.8,0.2,-0.7,-8.113,-4.9,0.02,0.01,-0.65,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20115618,5618,2011,Final Four,Championship,3,2011 Connecticut,8,2011 Butler,53,41,12,94,1,1.6,6.7095,0.058925942,7.141638098,1.6,12.00583392,10.17462268,0,-4.861306621,-5.162104954,-0.7,-5.2,12.1,-1.6,-5.7,-11,2.3,1,-1.2,0.5,10.6626,9.4,-5.9,-2.7,-11.032,-4,3,1.26,1.52,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20125516,5516,2012,Final Four,Final Four,1,2012 Kentucky,4,2012 Louisville,69,61,8,130,1,7.9,12.912,0.072664372,5.736185351,3,4.814005593,3.2868927,4.8,7.357189729,9.339100513,10.5,5.2,4.1,-6,-6,-11.4,-5.2,-3.3,11.2,6.3,27.0532,5.9,-9.3,1,-10.3482,0.2,3.64,2.62,3.31,-1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20125618,5618,2012,Final Four,Championship,1,2012 Kentucky,2,2012 Kansas,67,59,8,126,1,4,4.8097,0.015971618,3.035930965,4.1,8.392858513,6.241630006,0,-3.501810271,-1.687811187,9.5,5.7,9.8,-3.5,-12.4,-15.5,-3.9,-1.5,12.5,2.4,25.1097,-0.1,-15.3,-3.7,-20.9046,-0.8,1.9,0.64,-1.09,-1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20125517,5517,2012,Final Four,Final Four,2,2012 Ohio St.,2,2012 Kansas,62,64,-2,126,0,4.2,2.9836,0.015286959,-0.502275259,3,5.531858513,2.027434506,1.3,-2.174934526,2.197708167,8.6,2.7,7.1,-3.3,-7.7,-12.5,-10,2.9,13.8,-2.1,20.5067,-2.3,-8.8,-3.6,-21.6056,-0.7,-0.49,-0.53,0.79,-0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20135516,5516,2013,Final Four,Final Four,1,2013 Louisville,9,2013 Wichita St.,72,68,4,140,1,9.2,13.7516,0.101881503,6.636848027,3.2,6.294109656,3.436627061,5.9,10.26720432,11.87062113,3.5,1.4,13.1,-1.7,-6.2,-2.1,-4.3,7.8,5.5,0.1,14.9317,-0.2,-7.4,-2.5,-21.8746,-4,-1.7,0.2,-4.56,1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20135618,5618,2013,Final Four,Championship,1,2013 Louisville,4,2013 Michigan,82,76,6,158,1,4.9,6.1504,0.030148848,2.781192195,5.7,10.0132425,7.3236233,-0.7,-0.634795677,-0.713199472,1.6,15.9,8.8,-0.2,-10.4,5,1.2,13.3,2.6,-0.1,11.0247,3,-10.8,-6.3,-30.3376,-6.2,0.38,-0.58,10.96,2.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20135517,5517,2013,Final Four,Final Four,4,2013 Michigan,4,2013 Syracuse,61,56,5,117,1,1.1,2.4255,0.002689665,1.064112267,3,12.14942239,9.107628812,-2,-10.2462425,-8.1624762,10.8,-6.8,-1.9,-9.1,-1.3,-12.4,-10.2,-0.2,10.6,7.7,23.5884,3.2,-1.9,-0.2,-10.1167,0.6,-2.08,-1.79,-4.53,-1.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145516,5516,2014,Final Four,Final Four,8,2014 Kentucky,2,2014 Wisconsin,74,73,1,147,1,-0.9,-2.6757,-0.03500482,-4.003143023,0.9,12.95189314,12.31522595,-1.8,-15.47154285,-17.32756356,2.2,27.9,14.5,2.5,-8.1,-6.3,2,3.7,3.8,-1.8,11.226,-3.6,-7.3,-5.6,-16.492,-5.9,2.58,2.45,2.93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145618,5618,2014,Final Four,Championship,8,2014 Kentucky,7,2014 Connecticut,54,60,-6,114,0,2.2,2.0343,0.006452533,-0.84401055,0.4,7.78740089,8.04086045,1.7,-6.148542848,-7.114512457,5.8,18.3,8.8,-1.4,-6.4,-0.8,-1.3,-1.3,8.6,-0.4,16.8772,1.7,-4,-7,-9.463,-7.6,1.36,1.86,-4.29,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
