team_year,year,team,region,seed,finish,weekend,conference,logo
2018 Loyola Chicago,2018,Loyola Chicago,South,11,Final Four,3,MVC,
2021 Loyola Chicago,2021,Loyola Chicago,Midwest,8,Sweet 16,2,MVC,
2022 Loyola Chicago,2022,Loyola Chicago,South,10,First Round,1,MVC,
2012 Loyola MD,2012,Loyola MD,East,15,First Round,1,MAAC,
2009 LSU,2009,LSU,South,8,Second Round,1,SEC,
2015 LSU,2015,LSU,East,9,First Round,1,SEC,
2019 LSU,2019,LSU,East,3,Sweet 16,2,SEC,
2021 LSU,2021,LSU,East,8,Second Round,1,SEC,
2022 LSU,2022,LSU,Midwest,6,First Round,1,SEC,
2014 Manhattan,2014,Manhattan,Midwest,13,First Round,1,MAAC,
2015 Manhattan,2015,Manhattan,Midwest,16,First Round,1,MAAC,
2008 Marquette,2008,Marquette,South,6,Second Round,1,Big East,
2009 Marquette,2009,Marquette,West,6,Second Round,1,Big East,
2010 Marquette,2010,Marquette,East,6,First Round,1,Big East,
2011 Marquette,2011,Marquette,East,11,Sweet 16,2,Big East,
2012 Marquette,2012,Marquette,West,3,Sweet 16,2,Big East,
2013 Marquette,2013,Marquette,East,3,Elite Eight,2,Big East,
2017 Marquette,2017,Marquette,East,10,First Round,1,Big East,
2019 Marquette,2019,Marquette,West,5,First Round,1,Big East,
2022 Marquette,2022,Marquette,East,9,First Round,1,Big East,
2023 Marquette,2023,Marquette,East,2,Second Round,1,Big East,
2018 Marshall,2018,Marshall,East,13,Second Round,1,CUSA,
2009 Maryland,2009,Maryland,West,10,Second Round,1,ACC,
2010 Maryland,2010,Maryland,Midwest,4,Second Round,1,ACC,
2015 Maryland,2015,Maryland,Midwest,4,Second Round,1,Big 10,
2016 Maryland,2016,Maryland,South,5,Sweet 16,2,Big 10,
2017 Maryland,2017,Maryland,West,6,First Round,1,Big 10,
2019 Maryland,2019,Maryland,East,6,Second Round,1,Big 10,
2021 Maryland,2021,Maryland,East,10,Second Round,1,Big 10,
2023 Maryland,2023,Maryland,South,8,Second Round,1,Big 10,
2014 Massachusetts,2014,Massachusetts,Midwest,6,First Round,1,A10,
2008 Memphis,2008,Memphis,South,1,Runner Up,3,CUSA,
2009 Memphis,2009,Memphis,West,2,Sweet 16,2,CUSA,
2011 Memphis,2011,Memphis,West,12,First Round,1,CUSA,
2012 Memphis,2012,Memphis,West,8,First Round,1,CUSA,
2013 Memphis,2013,Memphis,Midwest,6,Second Round,1,CUSA,
2014 Memphis,2014,Memphis,East,8,Second Round,1,AAC,
2022 Memphis,2022,Memphis,West,9,Second Round,1,AAC,
2023 Memphis,2023,Memphis,East,8,First Round,1,AAC,
2014 Mercer,2014,Mercer,Midwest,14,Second Round,1,ASUN,
2013 Miami FL,2013,Miami FL,East,2,Sweet 16,2,ACC,
2008 Miami FL,2008,Miami FL,South,7,Second Round,1,ACC,
2016 Miami FL,2016,Miami FL,South,3,Sweet 16,2,ACC,
2017 Miami FL,2017,Miami FL,Midwest,8,First Round,1,ACC,
2018 Miami FL,2018,Miami FL,South,6,First Round,1,ACC,
2022 Miami FL,2022,Miami FL,Midwest,10,Elite Eight,2,ACC,
2023 Miami FL,2023,Miami FL,Midwest,5,Final Four,3,ACC,
2009 Michigan,2009,Michigan,South,10,Second Round,1,Big 10,
2011 Michigan,2011,Michigan,West,8,Second Round,1,Big 10,
2012 Michigan,2012,Michigan,Midwest,4,First Round,1,Big 10,
2013 Michigan,2013,Michigan,South,4,Runner Up,3,Big 10,
2014 Michigan,2014,Michigan,Midwest,2,Elite Eight,2,Big 10,
2016 Michigan,2016,Michigan,East,11,First Round,1,Big 10,
2017 Michigan,2017,Michigan,Midwest,7,Sweet 16,2,Big 10,
2018 Michigan,2018,Michigan,West,3,Runner Up,3,Big 10,
2019 Michigan,2019,Michigan,West,2,Sweet 16,2,Big 10,
2021 Michigan,2021,Michigan,East,1,Elite Eight,2,Big 10,
2022 Michigan,2022,Michigan,South,11,Sweet 16,2,Big 10,
2008 Michigan St.,2008,Michigan St.,South,5,Sweet 16,2,Big 10,
2009 Michigan St.,2009,Michigan St.,Midwest,2,Runner Up,3,Big 10,
2010 Michigan St.,2010,Michigan St.,Midwest,5,Final Four,3,Big 10,
2011 Michigan St.,2011,Michigan St.,Southeast,10,First Round,1,Big 10,
2012 Michigan St.,2012,Michigan St.,West,1,Sweet 16,2,Big 10,
2013 Michigan St.,2013,Michigan St.,Midwest,3,Sweet 16,2,Big 10,
2014 Michigan St.,2014,Michigan St.,East,4,Elite Eight,2,Big 10,
2015 Michigan St.,2015,Michigan St.,East,7,Final Four,3,Big 10,
2016 Michigan St.,2016,Michigan St.,Midwest,2,First Round,1,Big 10,
2017 Michigan St.,2017,Michigan St.,Midwest,9,Second Round,1,Big 10,
2018 Michigan St.,2018,Michigan St.,Midwest,3,Second Round,1,Big 10,
2019 Michigan St.,2019,Michigan St.,East,2,Final Four,3,Big 10,
2021 Michigan St.,2021,Michigan St.,East,11,First Round,1,Big 10,
2022 Michigan St.,2022,Michigan St.,West,7,Second Round,1,Big 10,
2023 Michigan St.,2023,Michigan St.,East,7,Sweet 16,2,Big 10,
2013 Middle Tennessee,2013,Middle Tennessee,Midwest,11,First Round,1,Sun Belt,
2016 Middle Tennessee,2016,Middle Tennessee,Midwest,15,Second Round,1,CUSA,
2017 Middle Tennessee,2017,Middle Tennessee,South,12,Second Round,1,CUSA,
2014 Milwaukee,2014,Milwaukee,East,15,First Round,1,Horizon,
2009 Minnesota,2009,Minnesota,East,10,First Round,1,Big 10,
2010 Minnesota,2010,Minnesota,West,11,First Round,1,Big 10,
2013 Minnesota,2013,Minnesota,South,11,Second Round,1,Big 10,
2017 Minnesota,2017,Minnesota,South,5,First Round,1,Big 10,
2019 Minnesota,2019,Minnesota,East,10,Second Round,1,Big 10,
2013 Mississippi,2013,Mississippi,West,12,Second Round,1,SEC,
2015 Mississippi,2015,Mississippi,West,11,First Round,1,SEC,
2019 Mississippi,2019,Mississippi,South,8,First Round,1,SEC,
2008 Mississippi St.,2008,Mississippi St.,South,8,Second Round,1,SEC,
2009 Mississippi St.,2009,Mississippi St.,West,13,First Round,1,SEC,
2019 Mississippi St.,2019,Mississippi St.,East,5,First Round,1,SEC,
2023 Mississippi St.,2023,Mississippi St.,Midwest,11,First Round,1,SEC,
2008 Mississippi Valley St.,2008,Mississippi Valley St.,West,16,First Round,1,SWAC,
2012 Mississippi Valley St.,2012,Mississippi Valley St.,South,16,First Round,1,SWAC,
2009 Missouri,2009,Missouri,West,3,Elite Eight,2,Big 12,
2010 Missouri,2010,Missouri,East,10,Second Round,1,Big 12,
2011 Missouri,2011,Missouri,West,11,First Round,1,Big 12,
2012 Missouri,2012,Missouri,West,2,First Round,1,Big 12,
2013 Missouri,2013,Missouri,Midwest,9,First Round,1,SEC,
2018 Missouri,2018,Missouri,West,8,First Round,1,SEC,
2021 Missouri,2021,Missouri,West,9,First Round,1,SEC,
2023 Missouri,2023,Missouri,South,7,Second Round,1,SEC,
2010 Montana,2010,Montana,East,14,First Round,1,Big Sky,
2012 Montana,2012,Montana,East,13,First Round,1,Big Sky,
2013 Montana,2013,Montana,East,13,First Round,1,Big Sky,
2018 Montana,2018,Montana,West,14,First Round,1,Big Sky,
2019 Montana,2019,Montana,West,15,First Round,1,Big Sky,
2022 Montana St.,2022,Montana St.,West,14,First Round,1,Big Sky,
2023 Montana St.,2023,Montana St.,East,14,First Round,1,Big Sky,
2009 Morehead St.,2009,Morehead St.,Midwest,16,First Round,1,SWAC,
2011 Morehead St.,2011,Morehead St.,Southwest,13,Second Round,1,OVC,
2021 Morehead St.,2021,Morehead St.,Midwest,14,First Round,1,OVC,
2009 Morgan St.,2009,Morgan St.,South,15,First Round,1,MEAC,
2010 Morgan St.,2010,Morgan St.,East,15,First Round,1,MEAC,
2008 Mount St. Mary's,2008,Mount St. Mary's,East,16,First Round,1,NEC,
2014 Mount St. Mary's,2014,Mount St. Mary's,South,16,First Round,1,NEC,
2017 Mount St. Mary's,2017,Mount St. Mary's,East,16,First Round,1,NEC,
2021 Mount St. Mary's,2021,Mount St. Mary's,East,16,First Round,1,NEC,
2010 Murray St.,2010,Murray St.,West,13,Second Round,1,OVC,
2012 Murray St.,2012,Murray St.,West,6,Second Round,1,OVC,
2018 Murray St.,2018,Murray St.,East,12,First Round,1,OVC,
2019 Murray St.,2019,Murray St.,West,12,Second Round,1,OVC,
2022 Murray St.,2022,Murray St.,East,7,Second Round,1,OVC,
2013 NC St.,2013,NC St.,East,8,First Round,1,ACC,
2014 NC St.,2014,NC St.,Midwest,12,First Round,1,ACC,
2015 NC St.,2015,NC St.,East,8,Sweet 16,2,ACC,
2018 NC St.,2018,NC St.,Midwest,9,First Round,1,ACC,
2023 NC St.,2023,NC St.,South,11,First Round,1,ACC,
2012 NC St.,2012,NC St.,Midwest,11,Sweet 16,2,ACC,
2014 Nebraska,2014,Nebraska,West,11,First Round,1,Big 10,
2017 Nebraska,2017,Nebraska,West,8,Second Round,1,Big 10,
2017 Nevada,2017,Nevada,Midwest,12,First Round,1,MWC,
2018 Nevada,2018,Nevada,South,7,Sweet 16,2,MWC,
2019 Nevada,2019,Nevada,West,7,First Round,1,MWC,
2023 Nevada,2023,Nevada,West,11,First Round,1,MWC,
2010 New Mexico,2010,New Mexico,East,3,Second Round,1,MWC,
2012 New Mexico,2012,New Mexico,West,5,Second Round,1,MWC,
2013 New Mexico,2013,New Mexico,West,3,First Round,1,MWC,
2014 New Mexico,2014,New Mexico,South,7,First Round,1,MWC,
2010 New Mexico St.,2010,New Mexico St.,Midwest,12,First Round,1,WAC,
2012 New Mexico St.,2012,New Mexico St.,South,13,First Round,1,WAC,
2013 New Mexico St.,2013,New Mexico St.,Midwest,13,First Round,1,WAC,
2014 New Mexico St.,2014,New Mexico St.,West,13,First Round,1,WAC,
2015 New Mexico St.,2015,New Mexico St.,Midwest,15,First Round,1,WAC,
2017 New Mexico St.,2017,New Mexico St.,East,14,First Round,1,WAC,
2018 New Mexico St.,2018,New Mexico St.,Midwest,12,First Round,1,WAC,
2019 New Mexico St.,2019,New Mexico St.,Midwest,12,First Round,1,WAC,
2022 New Mexico St.,2022,New Mexico St.,West,12,Second Round,1,WAC,
2017 New Orleans,2017,New Orleans,East,16,First Round,1,Southland,
2012 Norfolk St.,2012,Norfolk St.,West,15,Second Round,1,MEAC,
2021 Norfolk St.,2021,Norfolk St.,West,16,First Round,1,MEAC,
2022 Norfolk St.,2022,Norfolk St.,East,16,First Round,1,MEAC,
2008 North Carolina,2008,North Carolina,East,1,Final Four,3,ACC,
2009 North Carolina,2009,North Carolina,South,1,Champion,3,ACC,
2011 North Carolina,2011,North Carolina,East,2,Elite Eight,2,ACC,
2012 North Carolina,2012,North Carolina,Midwest,1,Elite Eight,2,ACC,
2013 North Carolina,2013,North Carolina,South,8,Second Round,1,ACC,
2014 North Carolina,2014,North Carolina,East,6,Second Round,1,ACC,
2015 North Carolina,2015,North Carolina,West,4,Sweet 16,2,ACC,
2016 North Carolina,2016,North Carolina,East,1,Runner Up,3,ACC,
2017 North Carolina,2017,North Carolina,South,1,Champion,3,ACC,
2018 North Carolina,2018,North Carolina,West,2,Second Round,1,ACC,
2019 North Carolina,2019,North Carolina,Midwest,1,Sweet 16,2,ACC,
2021 North Carolina,2021,North Carolina,South,8,First Round,1,ACC,
2022 North Carolina,2022,North Carolina,East,8,Runner Up,3,ACC,
2013 North Carolina A&T,2013,North Carolina A&T,Midwest,16,First Round,1,MEAC,
2014 North Carolina Central,2014,North Carolina Central,East,14,First Round,1,MEAC,
2017 North Carolina Central,2017,North Carolina Central,Midwest,16,First Round,1,MEAC,
2018 North Carolina Central,2018,North Carolina Central,West,16,First Round,1,MEAC,
2019 North Carolina Central,2019,North Carolina Central,East,16,First Round,1,MEAC,
2017 North Dakota,2017,North Dakota,West,15,First Round,1,Big Sky,
2009 North Dakota St.,2009,North Dakota St.,Midwest,14,First Round,1,Summit,
2014 North Dakota St.,2014,North Dakota St.,West,12,Second Round,1,Summit,
2015 North Dakota St.,2015,North Dakota St.,South,15,First Round,1,Summit,
2019 North Dakota St.,2019,North Dakota St.,East,16,First Round,1,Summit,
2015 North Florida,2015,North Florida,South,16,First Round,1,ASUN,
2010 North Texas,2010,North Texas,West,15,First Round,1,Sun Belt,
2021 North Texas,2021,North Texas,South,13,Second Round,1,CUSA,
2015 Northeastern,2015,Northeastern,Midwest,14,First Round,1,CAA,
2019 Northeastern,2019,Northeastern,Midwest,13,First Round,1,CAA,
2011 Northern Colorado,2011,Northern Colorado,West,15,First Round,1,Big Sky,
2009 Northern Iowa,2009,Northern Iowa,West,12,First Round,1,MVC,
2010 Northern Iowa,2010,Northern Iowa,Midwest,9,Sweet 16,2,MVC,
2015 Northern Iowa,2015,Northern Iowa,East,5,Second Round,1,MVC,
2016 Northern Iowa,2016,Northern Iowa,West,11,Second Round,1,MVC,
2017 Northern Kentucky,2017,Northern Kentucky,South,15,First Round,1,Horizon,
2019 Northern Kentucky,2019,Northern Kentucky,West,14,First Round,1,Horizon,
2023 Northern Kentucky,2023,Northern Kentucky,Midwest,16,First Round,1,Horizon,
2017 Northwestern,2017,Northwestern,West,8,Second Round,1,Big 10,
2023 Northwestern,2023,Northwestern,West,7,Second Round,1,Big 10,
2013 Northwestern St.,2013,Northwestern St.,South,14,First Round,1,Southland,
2008 Notre Dame,2008,Notre Dame,East,5,Second Round,1,Big East,
2010 Notre Dame,2010,Notre Dame,South,6,First Round,1,Big East,
2011 Notre Dame,2011,Notre Dame,Southwest,2,Second Round,1,Big East,
2012 Notre Dame,2012,Notre Dame,South,7,First Round,1,Big East,
2013 Notre Dame,2013,Notre Dame,West,7,First Round,1,Big East,
2015 Notre Dame,2015,Notre Dame,Midwest,3,Elite Eight,2,ACC,
2016 Notre Dame,2016,Notre Dame,East,6,Elite Eight,2,ACC,
2017 Notre Dame,2017,Notre Dame,West,5,Second Round,1,ACC,
2022 Notre Dame,2022,Notre Dame,West,11,Second Round,1,ACC,
2010 Oakland,2010,Oakland,West,14,First Round,1,Summit,
2011 Oakland,2011,Oakland,West,13,First Round,1,Summit,
2010 Ohio,2010,Ohio,Midwest,14,Second Round,1,MAC,
2012 Ohio,2012,Ohio,Midwest,13,Sweet 16,2,MAC,
2021 Ohio,2021,Ohio,West,13,Second Round,1,MAC,
2009 Ohio St.,2009,Ohio St.,Midwest,8,First Round,1,Big 10,
2010 Ohio St.,2010,Ohio St.,Midwest,2,Sweet 16,2,Big 10,
2011 Ohio St.,2011,Ohio St.,East,1,Sweet 16,2,Big 10,
2012 Ohio St.,2012,Ohio St.,East,2,Final Four,3,Big 10,
2013 Ohio St.,2013,Ohio St.,West,2,Elite Eight,2,Big 10,
2014 Ohio St.,2014,Ohio St.,South,6,First Round,1,Big 10,
2015 Ohio St.,2015,Ohio St.,West,10,Second Round,1,Big 10,
2018 Ohio St.,2018,Ohio St.,West,5,Second Round,1,Big 10,
2019 Ohio St.,2019,Ohio St.,Midwest,11,Second Round,1,Big 10,
2021 Ohio St.,2021,Ohio St.,South,2,First Round,1,Big 10,
2022 Ohio St.,2022,Ohio St.,South,7,Second Round,1,Big 10,
2008 Oklahoma,2008,Oklahoma,East,6,Second Round,1,Big 12,
2009 Oklahoma,2009,Oklahoma,South,2,Elite Eight,2,Big 12,
2013 Oklahoma,2013,Oklahoma,South,10,First Round,1,Big 12,
2014 Oklahoma,2014,Oklahoma,West,5,First Round,1,Big 12,
2015 Oklahoma,2015,Oklahoma,East,3,Sweet 16,2,Big 12,
2016 Oklahoma,2016,Oklahoma,West,2,Final Four,3,Big 12,
2018 Oklahoma,2018,Oklahoma,Midwest,10,First Round,1,Big 12,
2019 Oklahoma,2019,Oklahoma,South,9,Second Round,1,Big 12,
2021 Oklahoma,2021,Oklahoma,West,8,Second Round,1,Big 12,
2009 Oklahoma St.,2009,Oklahoma St.,East,8,Second Round,1,Big 12,
2010 Oklahoma St.,2010,Oklahoma St.,Midwest,7,First Round,1,Big 12,
2013 Oklahoma St.,2013,Oklahoma St.,Midwest,5,First Round,1,Big 12,
2014 Oklahoma St.,2014,Oklahoma St.,West,9,First Round,1,Big 12,
2015 Oklahoma St.,2015,Oklahoma St.,West,9,First Round,1,Big 12,
2017 Oklahoma St.,2017,Oklahoma St.,Midwest,10,First Round,1,Big 12,
2021 Oklahoma St.,2021,Oklahoma St.,Midwest,4,Second Round,1,Big 12,
2010 Old Dominion,2010,Old Dominion,South,11,Second Round,1,CAA,
2011 Old Dominion,2011,Old Dominion,Southeast,9,First Round,1,CAA,
2019 Old Dominion,2019,Old Dominion,South,14,First Round,1,CUSA,
2008 Oral Roberts,2008,Oral Roberts,South,13,First Round,1,Summit,
2021 Oral Roberts,2021,Oral Roberts,South,15,Sweet 16,2,Summit,
2023 Oral Roberts,2023,Oral Roberts,East,12,First Round,1,Summit,
2008 Oregon,2008,Oregon,South,9,First Round,1,Pac 12,
2013 Oregon,2013,Oregon,Midwest,12,Sweet 16,2,Pac 12,
2014 Oregon,2014,Oregon,West,7,Second Round,1,Pac 12,
2015 Oregon,2015,Oregon,West,8,Second Round,1,Pac 12,
2016 Oregon,2016,Oregon,West,1,Elite Eight,2,Pac 12,
2017 Oregon,2017,Oregon,Midwest,3,Final Four,3,Pac 12,
2019 Oregon,2019,Oregon,South,12,Sweet 16,2,Pac 12,
2021 Oregon,2021,Oregon,West,7,Sweet 16,2,Pac 12,
2016 Oregon St.,2016,Oregon St.,West,7,First Round,1,Pac 12,
2021 Oregon St.,2021,Oregon St.,Midwest,12,Elite Eight,2,Pac 12,
2013 Pacific,2013,Pacific,East,15,First Round,1,Big West,
2018 Penn,2018,Penn,Midwest,16,First Round,1,Ivy,
2011 Penn St.,2011,Penn St.,West,10,First Round,1,Big 10,
2023 Penn St.,2023,Penn St.,Midwest,10,Second Round,1,Big 10,
2008 Pittsburgh,2008,Pittsburgh,South,4,Second Round,1,Big East,
2009 Pittsburgh,2009,Pittsburgh,East,1,Elite Eight,2,Big East,
2010 Pittsburgh,2010,Pittsburgh,West,3,Second Round,1,Big East,
2011 Pittsburgh,2011,Pittsburgh,Southeast,1,Second Round,1,Big East,
2013 Pittsburgh,2013,Pittsburgh,West,8,First Round,1,Big East,
2014 Pittsburgh,2014,Pittsburgh,South,9,Second Round,1,ACC,
2016 Pittsburgh,2016,Pittsburgh,East,10,First Round,1,ACC,
2023 Pittsburgh,2023,Pittsburgh,Midwest,11,Second Round,1,ACC,
2008 Portland St.,2008,Portland St.,Midwest,16,First Round,1,Big Sky,
2009 Portland St.,2009,Portland St.,East,13,First Round,1,Big Sky,
2019 Prairie View A&M,2019,Prairie View A&M,West,16,First Round,1,SWAC,
2011 Princeton,2011,Princeton,East,13,First Round,1,Ivy,
2017 Princeton,2017,Princeton,West,12,First Round,1,Ivy,
2023 Princeton,2023,Princeton,South,15,First Round,1,Ivy,
2014 Providence,2014,Providence,East,11,First Round,1,Big East,
2015 Providence,2015,Providence,East,6,First Round,1,Big East,
2016 Providence,2016,Providence,East,9,Second Round,1,Big East,
2017 Providence,2017,Providence,East,11,First Round,1,Big East,
2018 Providence,2018,Providence,West,10,First Round,1,Big East,
2022 Providence,2022,Providence,Midwest,4,Sweet 16,2,Big East,
2023 Providence,2023,Providence,East,11,First Round,1,Big East,
2008 Purdue,2008,Purdue,West,6,Second Round,1,Big 10,
2009 Purdue,2009,Purdue,West,5,Sweet 16,2,Big 10,
2010 Purdue,2010,Purdue,South,4,Sweet 16,2,Big 10,
2011 Purdue,2011,Purdue,Southwest,3,Second Round,1,Big 10,
2012 Purdue,2012,Purdue,Midwest,10,Second Round,1,Big 10,
2015 Purdue,2015,Purdue,Midwest,9,First Round,1,Big 10,
2016 Purdue,2016,Purdue,Midwest,5,First Round,1,Big 10,
2017 Purdue,2017,Purdue,Midwest,4,Sweet 16,2,Big 10,
2018 Purdue,2018,Purdue,East,2,Sweet 16,2,Big 10,
2019 Purdue,2019,Purdue,South,3,Elite Eight,2,Big 10,
2021 Purdue,2021,Purdue,South,4,First Round,1,Big 10,
2022 Purdue,2022,Purdue,East,3,Sweet 16,2,Big 10,
2023 Purdue,2023,Purdue,East,1,First Round,1,Big 10,
2009 Radford,2009,Radford,South,16,First Round,1,OVC,
2018 Radford,2018,Radford,East,16,First Round,1,Big South,
2017 Rhode Island,2017,Rhode Island,Midwest,11,Second Round,1,A10,
2018 Rhode Island,2018,Rhode Island,Midwest,7,Second Round,1,A10,
2010 Richmond,2010,Richmond,South,7,First Round,1,A10,
2011 Richmond,2011,Richmond,Southwest,12,Sweet 16,2,A10,
2022 Richmond,2022,Richmond,Midwest,12,Second Round,1,A10,
2009 Robert Morris,2009,Robert Morris,Midwest,15,First Round,1,NEC,
2010 Robert Morris,2010,Robert Morris,South,15,First Round,1,NEC,
2015 Robert Morris,2015,Robert Morris,South,16,First Round,1,NEC,
2021 Rutgers,2021,Rutgers,Midwest,10,Second Round,1,Big 10,
2022 Rutgers,2022,Rutgers,West,11,First Round,1,Big 10,
2008 Saint Joseph's,2008,Saint Joseph's,East,11,First Round,1,A10,
2014 Saint Joseph's,2014,Saint Joseph's,East,10,First Round,1,A10,
2016 Saint Joseph's,2016,Saint Joseph's,West,8,Second Round,1,A10,
2012 Saint Louis,2012,Saint Louis,West,9,Second Round,1,A10,
2013 Saint Louis,2013,Saint Louis,Midwest,4,Second Round,1,A10,
2014 Saint Louis,2014,Saint Louis,Midwest,5,Second Round,1,A10,
2019 Saint Louis,2019,Saint Louis,East,13,First Round,1,A10,
2008 Saint Mary's,2008,Saint Mary's,South,10,First Round,1,WCC,
2010 Saint Mary's,2010,Saint Mary's,South,10,Sweet 16,2,WCC,
2012 Saint Mary's,2012,Saint Mary's,Midwest,7,First Round,1,WCC,
2013 Saint Mary's,2013,Saint Mary's,Midwest,11,First Round,1,WCC,
2017 Saint Mary's,2017,Saint Mary's,West,7,Second Round,1,WCC,
2019 Saint Mary's,2019,Saint Mary's,South,11,First Round,1,WCC,
2022 Saint Mary's,2022,Saint Mary's,East,5,Second Round,1,WCC,
2023 Saint Mary's,2023,Saint Mary's,West,5,Second Round,1,WCC,
2011 Saint Peter's,2011,Saint Peter's,Southwest,14,First Round,1,MAAC,
2022 Saint Peter's,2022,Saint Peter's,East,15,Elite Eight,2,MAAC,
2010 Sam Houston St.,2010,Sam Houston St.,South,14,First Round,1,Southland,
2008 San Diego,2008,San Diego,West,13,Second Round,1,WCC,
2010 San Diego St.,2010,San Diego St.,Midwest,11,First Round,1,MWC,
2011 San Diego St.,2011,San Diego St.,West,2,Sweet 16,2,MWC,
2012 San Diego St.,2012,San Diego St.,Midwest,6,First Round,1,MWC,
2013 San Diego St.,2013,San Diego St.,South,7,Second Round,1,MWC,
2014 San Diego St.,2014,San Diego St.,West,4,Sweet 16,2,MWC,
2015 San Diego St.,2015,San Diego St.,South,8,Second Round,1,MWC,
2018 San Diego St.,2018,San Diego St.,West,11,First Round,1,MWC,
2021 San Diego St.,2021,San Diego St.,Midwest,6,First Round,1,MWC,
2022 San Diego St.,2022,San Diego St.,Midwest,8,First Round,1,MWC,
2023 San Diego St.,2023,San Diego St.,South,5,Runner Up,3,MWC,
2022 San Francisco,2022,San Francisco,East,10,First Round,1,WCC,
2016 Seton Hall,2016,Seton Hall,Midwest,6,First Round,1,Big East,
2017 Seton Hall,2017,Seton Hall,South,9,First Round,1,Big East,
2018 Seton Hall,2018,Seton Hall,Midwest,8,Second Round,1,Big East,
2019 Seton Hall,2019,Seton Hall,Midwest,10,First Round,1,Big East,
2022 Seton Hall,2022,Seton Hall,South,8,First Round,1,Big East,
2008 Siena,2008,Siena,Midwest,13,Second Round,1,MAAC,
2009 Siena,2009,Siena,Midwest,9,Second Round,1,MAAC,
2010 Siena,2010,Siena,South,13,First Round,1,MAAC,
2015 SMU,2015,SMU,South,6,First Round,1,AAC,
2017 SMU,2017,SMU,East,6,First Round,1,AAC,
2008 South Alabama,2008,South Alabama,East,10,First Round,1,Sun Belt,
2017 South Carolina,2017,South Carolina,East,7,Final Four,3,SEC,
2012 South Dakota St.,2012,South Dakota St.,South,14,First Round,1,Summit,
2013 South Dakota St.,2013,South Dakota St.,South,13,First Round,1,Summit,
2016 South Dakota St.,2016,South Dakota St.,South,12,First Round,1,Summit,
2017 South Dakota St.,2017,South Dakota St.,West,16,First Round,1,Summit,
2018 South Dakota St.,2018,South Dakota St.,West,12,First Round,1,Summit,
2022 South Dakota St.,2022,South Dakota St.,Midwest,13,First Round,1,Summit,
2012 South Florida,2012,South Florida,Midwest,12,First Round,1,Big East,
2023 Southeast Missouri St.,2023,Southeast Missouri St.,South,16,First Round,1,OVC,
2013 Southern,2013,Southern,West,16,First Round,1,SWAC,
2016 Southern,2016,Southern,West,16,First Round,1,SWAC,
2012 Southern Miss,2012,Southern Miss,East,9,First Round,1,CUSA,
2012 St. Bonaventure,2012,St. Bonaventure,East,14,First Round,1,A10,
2018 St. Bonaventure,2018,St. Bonaventure,East,11,First Round,1,A10,
2021 St. Bonaventure,2021,St. Bonaventure,East,9,First Round,1,A10,
2011 St. John's,2011,St. John's,Southeast,6,First Round,1,Big East,
2015 St. John's,2015,St. John's,South,9,First Round,1,Big East,
2019 St. John's,2019,St. John's,West,11,First Round,1,Big East,
2008 Stanford,2008,Stanford,South,3,Sweet 16,2,Pac 12,
2014 Stanford,2014,Stanford,South,10,Sweet 16,2,Pac 12,
2009 Stephen F. Austin,2009,Stephen F. Austin,South,14,First Round,1,Southland,
2014 Stephen F. Austin,2014,Stephen F. Austin,South,12,Second Round,1,Southland,
2015 Stephen F. Austin,2015,Stephen F. Austin,South,12,First Round,1,Southland,
2016 Stephen F. Austin,2016,Stephen F. Austin,East,14,Second Round,1,Southland,
2018 Stephen F. Austin,2018,Stephen F. Austin,East,14,First Round,1,Southland,
2016 Stony Brook,2016,Stony Brook,East,13,First Round,1,America East,
2009 Syracuse,2009,Syracuse,South,3,Sweet 16,2,Big East,
2010 Syracuse,2010,Syracuse,West,1,Sweet 16,2,Big East,
2011 Syracuse,2011,Syracuse,East,3,Second Round,1,Big East,
2012 Syracuse,2012,Syracuse,East,1,Elite Eight,2,Big East,
2013 Syracuse,2013,Syracuse,East,4,Final Four,3,Big East,
2014 Syracuse,2014,Syracuse,South,3,Second Round,1,ACC,
2016 Syracuse,2016,Syracuse,Midwest,10,Final Four,3,ACC,
2018 Syracuse,2018,Syracuse,Midwest,11,Sweet 16,2,ACC,
2019 Syracuse,2019,Syracuse,West,8,First Round,1,ACC,
2021 Syracuse,2021,Syracuse,Midwest,11,Sweet 16,2,ACC,
2018 TCU,2018,TCU,Midwest,6,First Round,1,Big 12,
2022 TCU,2022,TCU,South,9,Second Round,1,Big 12,
2023 TCU,2023,TCU,West,6,Second Round,1,Big 12,
2008 Temple,2008,Temple,South,12,First Round,1,A10,
2009 Temple,2009,Temple,South,11,First Round,1,A10,
2010 Temple,2010,Temple,East,5,First Round,1,A10,
2011 Temple,2011,Temple,West,7,Second Round,1,A10,
2012 Temple,2012,Temple,Midwest,5,First Round,1,A10,
2013 Temple,2013,Temple,East,9,Second Round,1,A10,
2016 Temple,2016,Temple,South,10,First Round,1,AAC,
2019 Temple,2019,Temple,East,11,First Round,1,AAC,
2008 Tennessee,2008,Tennessee,East,2,Sweet 16,2,SEC,
2009 Tennessee,2009,Tennessee,East,9,First Round,1,SEC,
2010 Tennessee,2010,Tennessee,Midwest,6,Elite Eight,2,SEC,
2011 Tennessee,2011,Tennessee,West,9,First Round,1,SEC,
2014 Tennessee,2014,Tennessee,Midwest,11,Sweet 16,2,SEC,
2018 Tennessee,2018,Tennessee,South,3,Second Round,1,SEC,
