team_year,year,team,region,seed,finish,weekend,conference,logo
2016 Butler,2016,Butler,Midwest,9,Second Round,1,Big East,
2017 Butler,2017,Butler,South,4,Sweet 16,2,Big East,
2018 Butler,2018,Butler,East,10,Second Round,1,Big East,
2008 BYU,2008,BYU,West,8,First Round,1,MWC,
2009 BYU,2009,BYU,West,8,Second Round,1,MWC,
2010 BYU,2010,BYU,West,7,Second Round,1,MWC,
2011 BYU,2011,BYU,Southeast,3,Sweet 16,2,MWC,
2012 BYU,2012,BYU,West,14,First Round,1,WCC,
2014 BYU,2014,BYU,West,10,First Round,1,WCC,
2015 BYU,2015,BYU,West,11,First Round,1,WCC,
2021 BYU,2021,BYU,East,6,First Round,1,WCC,
2014 Cal Poly,2014,Cal Poly,Midwest,16,First Round,1,Big West,
2016 Cal St. Bakersfield,2016,Cal St. Bakersfield,West,15,First Round,1,WAC,
2008 Cal St. Fullerton,2008,Cal St. Fullerton,Midwest,14,First Round,1,Big West,
2018 Cal St. Fullerton,2018,Cal St. Fullerton,East,15,First Round,1,Big West,
2022 Cal St. Fullerton,2022,Cal St. Fullerton,West,15,First Round,1,Big West,
2009 Cal St. Northridge,2009,Cal St. Northridge,West,15,First Round,1,Big West,
2009 California,2009,California,West,7,First Round,1,ACC,
2010 California,2010,California,South,8,Second Round,1,Pac 12,
2012 California,2012,California,Midwest,12,Second Round,1,Pac 12,
2013 California,2013,California,East,12,Second Round,1,Pac 12,
2016 California,2016,California,South,4,First Round,1,Pac 12,
2018 Charleston,2018,Charleston,Midwest,13,First Round,1,CAA,
2023 Charleston,2023,Charleston,South,12,First Round,1,CAA,
2009 Chattanooga,2009,Chattanooga,West,16,First Round,1,Southern,
2016 Chattanooga,2016,Chattanooga,East,12,First Round,1,Southern,
2022 Chattanooga,2022,Chattanooga,South,13,First Round,1,Southern,
2011 Cincinnati,2011,Cincinnati,West,6,Second Round,1,Big East,
2012 Cincinnati,2012,Cincinnati,East,6,Sweet 16,2,Big East,
2013 Cincinnati,2013,Cincinnati,Midwest,10,First Round,1,Big East,
2014 Cincinnati,2014,Cincinnati,East,5,First Round,1,AAC,
2015 Cincinnati,2015,Cincinnati,Midwest,8,Second Round,1,AAC,
2016 Cincinnati,2016,Cincinnati,West,9,First Round,1,AAC,
2017 Cincinnati,2017,Cincinnati,South,6,Second Round,1,AAC,
2018 Cincinnati,2018,Cincinnati,South,2,Second Round,1,AAC,
2019 Cincinnati,2019,Cincinnati,South,7,First Round,1,AAC,
2008 Clemson,2008,Clemson,Midwest,5,First Round,1,ACC,
2009 Clemson,2009,Clemson,South,7,First Round,1,ACC,
2010 Clemson,2010,Clemson,East,7,First Round,1,ACC,
2011 Clemson,2011,Clemson,East,12,First Round,1,ACC,
2018 Clemson,2018,Clemson,Midwest,5,Sweet 16,2,ACC,
2021 Clemson,2021,Clemson,Midwest,7,First Round,1,ACC,
2009 Cleveland St.,2009,Cleveland St.,Midwest,13,Second Round,1,Horizon,
2021 Cleveland St.,2021,Cleveland St.,Midwest,15,First Round,1,Horizon,
2014 Coastal Carolina,2014,Coastal Carolina,East,16,First Round,1,Big South,
2015 Coastal Carolina,2015,Coastal Carolina,West,16,First Round,1,Big South,
2019 Colgate,2019,Colgate,South,15,First Round,1,Patriot,
2021 Colgate,2021,Colgate,South,14,First Round,1,Patriot,
2022 Colgate,2022,Colgate,Midwest,14,First Round,1,Patriot,
2023 Colgate,2023,Colgate,Midwest,15,First Round,1,Patriot,
2012 Colorado,2012,Colorado,South,11,Second Round,1,Pac 12,
2013 Colorado,2013,Colorado,East,10,First Round,1,Pac 12,
2014 Colorado,2014,Colorado,South,8,First Round,1,Pac 12,
2016 Colorado,2016,Colorado,South,8,First Round,1,Pac 12,
2021 Colorado,2021,Colorado,East,5,First Round,1,Pac 12,
2012 Colorado St.,2012,Colorado St.,West,11,First Round,1,MWC,
2013 Colorado St.,2013,Colorado St.,Midwest,8,Second Round,1,MWC,
2022 Colorado St.,2022,Colorado St.,South,6,First Round,1,MWC,
2008 Connecticut,2008,Connecticut,West,4,First Round,1,Big East,
2009 Connecticut,2009,Connecticut,West,1,Final Four,3,Big East,
2011 Connecticut,2011,Connecticut,West,3,Champion,3,Big East,
